,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Questionable
133,"CREDIT CARD, FALSE REPORT OF LOST c266 §37B(k)",0,3,"CREDIT CARD, FALSE REPORT OF LOST",266,37B(k),yes,133,not in the list of non-expungable offenses.,,n
134,"CREDIT CARD, RECEIVE IMPROPER c266 §37C(b)",3,15,"CREDIT CARD, RECEIVE IMPROPER",266,37C(b),yes,134,not in the list of non-expungable offenses.,,n
135,"CREDIT CARD, FORGE OR UTTER FORGED c266 §37C(c)",14,149,"CREDIT CARD, FORGE OR UTTER FORGED",266,37C(c),yes,135,not in the list of non-expungable offenses.,,n
136,"CREDIT CARD, IMPROPER USE OVER $250 c266 §37C(d)",51,120,"CREDIT CARD, IMPROPER USE OVER $250",266,37C(d),yes,136,not in the list of non-expungable offenses.,,n
137,"CREDIT CARD, IMPROPER USE OVER $1200 c266 §37C(d)",0,3,"CREDIT CARD, IMPROPER USE OVER $1200",266,37C(d),yes,137,not in the list of non-expungable offenses.,,n
138,CREDIT CARD FRAUD OVER $250 c266 §37C(e),47,360,CREDIT CARD FRAUD OVER $250,266,37C(e),yes,138,not in the list of non-expungable offenses.,,n
139,CREDIT CARD FRAUD OVER $1200 c266 §37C(e),2,8,CREDIT CARD FRAUD OVER $1200,266,37C(e),yes,139,not in the list of non-expungable offenses.,,n
140,CREDIT CARD FRAUD OVER $250 BY MERCHANT c266 §37C(g),0,4,CREDIT CARD FRAUD OVER $250 BY MERCHANT,266,37C(g),yes,140,not in the list of non-expungable offenses.,,n
141,"CREDIT CARD, RECEIVE IMPROP OVER $250 c266 §37C(h)",0,10,"CREDIT CARD, RECEIVE IMPROP OVER $250",266,37C(h),yes,141,not in the list of non-expungable offenses.,,n
142,"CREDIT CARD, POSSESS BLANK c266 §37C(i)",0,7,"CREDIT CARD, POSSESS BLANK",266,37C(i),yes,142,not in the list of non-expungable offenses.,,n
143,"CREDIT CARD, POSSESS COUNTERFEIT PRESS c266 §37C(j)",0,23,"CREDIT CARD, POSSESS COUNTERFEIT PRESS",266,37C(j),yes,143,not in the list of non-expungable offenses.,,n
144,"TELEPHONE CREDIT CARD SYSTEM, PUBLISH c266 §37D",3,0,"TELEPHONE CREDIT CARD SYSTEM, PUBLISH",266,37D,yes,144,not in the list of non-expungable offenses.,,n
145,IDENTITY FRAUD c266 §37E,76,541,IDENTITY FRAUD,266,37E,yes,145,not in the list of non-expungable offenses.,,n
146,"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION c. 266 s. 37E",0,1,"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION",266,37E,yes,146,not in the list of non-expungable offenses.,,n
147,"WILL, STEAL/DESTROY/CONCEAL c266 §39",0,3,"WILL, STEAL/DESTROY/CONCEAL",266,39,yes,147,not in the list of non-expungable offenses.,,n
148,"THIEF, COMMON & NOTORIOUS c266 §40",30,92,"THIEF, COMMON & NOTORIOUS",266,40,yes,148,not in the list of non-expungable offenses.,,n
149,"THIEF, COMMON & NOTORIOUS-HABITUAL c266 §40",2,0,"THIEF, COMMON & NOTORIOUS-HABITUAL",266,40,yes,149,not in the list of non-expungable offenses.,,n
150,"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF c266 §40",1,0,"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF",266,40,yes,150,not in the list of non-expungable offenses.,,n
151,"BICYCLE, LARCENY OF, SUBSQ.OFF. c266 §41",0,3,"BICYCLE, LARCENY OF, SUBSQ.OFF.",266,41,yes,151,not in the list of non-expungable offenses.,,n
152,"BANK BILL PAPER, LARCENY OF c266 §42",0,1,"BANK BILL PAPER, LARCENY OF",266,42,yes,152,not in the list of non-expungable offenses.,,n
153,"BANK, EMBEZZLEMENT FROM c266 §52",0,2,"BANK, EMBEZZLEMENT FROM",266,52,yes,153,not in the list of non-expungable offenses.,,n
154,"BANK OFFICER/EMPLOYEE, MISCONDUCT BY c266 §53A",1,0,"BANK OFFICER/EMPLOYEE, MISCONDUCT BY",266,53A,yes,154,not in the list of non-expungable offenses.,,n
155,"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY c266 §57",2,56,"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY",266,57,yes,155,not in the list of non-expungable offenses.,,n
156,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c266 §60A",0,2,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN",266,60A,yes,156,not in the list of non-expungable offenses.,,n
157,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c. 266 s. 60A",0,1,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN",266,60A,yes,157,not in the list of non-expungable offenses.,,n
158,"RECEIVER, COMMON c266 §62",2,3,"RECEIVER, COMMON",266,62,yes,158,not in the list of non-expungable offenses.,,n
159,"HIRING VEHICLE, FRAUD IN c266 §64",1,7,"HIRING VEHICLE, FRAUD IN",266,64,yes,159,not in the list of non-expungable offenses.,,n
160,"BOOKS, FALSIFY/OMIT ENTRY IN c266 §67",1,27,"BOOKS, FALSIFY/OMIT ENTRY IN",266,67,yes,160,not in the list of non-expungable offenses.,,n
161,FALSE CLAIM TO GOVERNMENT AGENCY c266 §67B,0,7,FALSE CLAIM TO GOVERNMENT AGENCY,266,67B,yes,161,not in the list of non-expungable offenses.,,n
162,"GOLD, FRAUD IN FINENESS OF c266 §78",0,2,"GOLD, FRAUD IN FINENESS OF",266,78,yes,162,not in the list of non-expungable offenses.,,n
163,"LEASED PERSONALTY, SELL c266 §84",1,0,"LEASED PERSONALTY, SELL",266,84,yes,163,not in the list of non-expungable offenses.,,n
164,"LEASED PERSONALTY, FAIL RETURN c266 §87",7,27,"LEASED PERSONALTY, FAIL RETURN",266,87,yes,164,not in the list of non-expungable offenses.,,n
165,"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE c266 §87",0,12,"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE",266,87,yes,165,not in the list of non-expungable offenses.,,n
166,"CONSIGNEE/FACTOR, CONVERSION BY c266 §88",0,1,"CONSIGNEE/FACTOR, CONVERSION BY",266,88,yes,166,not in the list of non-expungable offenses.,,n
167,"DEGREE, FALSE CLAIM TO HOLD SCHOOL c266 §89",0,2,"DEGREE, FALSE CLAIM TO HOLD SCHOOL",266,89,yes,167,not in the list of non-expungable offenses.,,n
168,"FINANCIAL STATEMENT, PUBLISH FALSE c266 §92",0,1,"FINANCIAL STATEMENT, PUBLISH FALSE",266,92,yes,168,not in the list of non-expungable offenses.,,n
169,"BUILDING, VANDALIZE c266 §94",0,1,"BUILDING, VANDALIZE",266,94,yes,169,not in the list of non-expungable offenses.,,n
170,"HISTORIC MARKER/MONUMENT, VANDALIZE c266 §95",3,0,"HISTORIC MARKER/MONUMENT, VANDALIZE",266,95,yes,170,not in the list of non-expungable offenses.,,n
171,"STATE BUILDING, VANDALIZE c266 §96",5,15,"STATE BUILDING, VANDALIZE",266,96,yes,171,not in the list of non-expungable offenses.,,n
172,"PLAYGROUND EQUIPMENT, VANDALIZE c266 §98A",0,1,"PLAYGROUND EQUIPMENT, VANDALIZE",266,98A,yes,172,not in the list of non-expungable offenses.,,n
173,"LIBRARY MATERIALS, FAIL RETURN c266 §99A",19,0,"LIBRARY MATERIALS, FAIL RETURN",266,99A,yes,173,not in the list of non-expungable offenses.,,n
174,TRESPASS WITH NON-MV VEHICLE  c266 §121A,4,0,TRESPASS WITH NON-MV VEHICLE ,266,121A,yes,174,not in the list of non-expungable offenses.,,n
175,"TRADE SECRET, LARCENY OF c266 §30(4)",0,1,"TRADE SECRET, LARCENY OF",266,30(4),yes,175,not in the list of non-expungable offenses.,,n
176,FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS c266 §35/A(b)4,0,2,FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS,266,35/A(b)4,yes,176,not in the list of non-expungable offenses.,,n
177,"IDENTITY FRAUD, POSSESS TOOLS W/INTENT c266 §37Ec1/2",0,2,"IDENTITY FRAUD, POSSESS TOOLS W/INTENT",266,37Ec1/2,yes,177,not in the list of non-expungable offenses.,,n
178,LARCENY UNDER $250 BY SINGLE SCHEME c266 §30 & §30(1),25,82,LARCENY UNDER $250 BY SINGLE SCHEME,266,30 & §30(1),yes,178,not in the list of non-expungable offenses.,,n
179,LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30 & §30(1),8,0,LARCENY UNDER $1200 BY SINGLE SCHEME,266,30 & §30(1),yes,179,not in the list of non-expungable offenses.,,n
180,LARCENY OVER $250 BY BOAT CAPTAIN  c266 §32 & §30(1),1,0,LARCENY OVER $250 BY BOAT CAPTAIN ,266,32 & §30(1),yes,180,not in the list of non-expungable offenses.,,n
181,LARCENY OVER $250 BY BOAT CAPTAIN c266 §32 & §30(1),0,1,LARCENY OVER $250 BY BOAT CAPTAIN,266,32 & §30(1),yes,181,not in the list of non-expungable offenses.,,n
182,LARCENY OVER $250 BY FALSE PRETENSE c266 §34 & §30(1),39,110,LARCENY OVER $250 BY FALSE PRETENSE,266,34 & §30(1),yes,182,not in the list of non-expungable offenses.,,n
183,LARCENY UNDER $250 BY FALSE PRETENSE c266 §34 & §30(1),34,45,LARCENY UNDER $250 BY FALSE PRETENSE,266,34 & §30(1),yes,183,not in the list of non-expungable offenses.,,n
184,LARCENY UNDER $1200 BY FALSE PRETENSE c266 §34 & §30(1),2,0,LARCENY UNDER $1200 BY FALSE PRETENSE,266,34 & §30(1),yes,184,not in the list of non-expungable offenses.,,n
185,LARCENY OVER $1200 BY FALSE PRETENSE c266 §34 & 30(1),1,0,LARCENY OVER $1200 BY FALSE PRETENSE,266,34 & 30(1),yes,185,not in the list of non-expungable offenses.,,n
186,LARCENY BY CHECK OVER $250 c266 §37 & §30(1),90,357,LARCENY BY CHECK OVER $250,266,37 & §30(1),yes,186,not in the list of non-expungable offenses.,,n
187,LARCENY BY CHECK UNDER $250 c266 §37 & §30(1),60,133,LARCENY BY CHECK UNDER $250,266,37 & §30(1),yes,187,not in the list of non-expungable offenses.,,n
188,LARCENY BY CHECK OVER $1200 c266 §37 & §30(1),1,7,LARCENY BY CHECK OVER $1200,266,37 & §30(1),yes,188,not in the list of non-expungable offenses.,,n
189,LARCENY BY CHECK UNDER $1200 c266 §37 & §30(1),0,1,LARCENY BY CHECK UNDER $1200,266,37 & §30(1),yes,189,not in the list of non-expungable offenses.,,n
190,ASSOCIATION OFFICER EMBEZZLE +$250 c266 §58 & §30(1),0,6,ASSOCIATION OFFICER EMBEZZLE +$250,266,58 & §30(1),yes,190,not in the list of non-expungable offenses.,,n
191,FALSE PRETENSE IN COMMER TRANSACTN +$250 c266 §33(1) & §30(1),0,9,FALSE PRETENSE IN COMMER TRANSACTN +$250,266,33(1) & §30(1),yes,191,not in the list of non-expungable offenses.,,n
192,FALSE PRETENSE IN COMMER TRANSACTN -$250 c266 §33(1) & §30(1),0,1,FALSE PRETENSE IN COMMER TRANSACTN -$250,266,33(1) & §30(1),yes,192,not in the list of non-expungable offenses.,,n
193,CREDIT +$250 BY FALSE FINANCIAL STATEMNT c266 §33(2) & §30(1),0,1,CREDIT +$250 BY FALSE FINANCIAL STATEMNT,266,33(2) & §30(1),yes,193,not in the list of non-expungable offenses.,,n
194,ATTEMPTED LARCENY FROM +60/DISABLED c266 §30(5) & c274 §6,1,0,ATTEMPTED LARCENY FROM +60/DISABLED,266,30(5) & c274 §6,yes,194,not in the list of non-expungable offenses.,,n
195,"ADMISSION TICKET, FORGE c267 §2",0,6,"ADMISSION TICKET, FORGE",267,2,yes,195,not in the list of non-expungable offenses.,,n
196,MONEY LAUNDERING c267A §2,0,174,MONEY LAUNDERING,267A,2,yes,196,not in the list of non-expungable offenses.,,n
197,"ADMISSION TICKET, UTTER FALSE c267 §6",0,6,"ADMISSION TICKET, UTTER FALSE",267,6,yes,197,not in the list of non-expungable offenses.,,n
198,FORGERY OF BANK NOTE c267 §8,0,11,FORGERY OF BANK NOTE,267,8,yes,198,not in the list of non-expungable offenses.,,n
199,"COUNTERFEIT NOTES, COMMON UTTERER OF c267 §11",0,3,"COUNTERFEIT NOTES, COMMON UTTERER OF",267,11,yes,199,not in the list of non-expungable offenses.,,n
200,"COUNTERFEITING EQUIPMENT, POSSESS c267 §13",0,4,"COUNTERFEITING EQUIPMENT, POSSESS",267,13,yes,200,not in the list of non-expungable offenses.,,n
201,"COUNTERFEITING EQUIPMENT, MANUFACTURE c267 §13",0,2,"COUNTERFEITING EQUIPMENT, MANUFACTURE",267,13,yes,201,not in the list of non-expungable offenses.,,n
202,COUNTERFEIT COIN c267 §17,0,2,COUNTERFEIT COIN,267,17,yes,202,not in the list of non-expungable offenses.,,n
203,MONEY LAUNDERING c267A §2(1),23,0,MONEY LAUNDERING,267A,2(1),yes,203,not in the list of non-expungable offenses.,,n
204,"NOTES, POSSESS WORTHLESS/FALSE c267 §27",1,0,"NOTES, POSSESS WORTHLESS/FALSE",267,27,yes,204,not in the list of non-expungable offenses.,,n
205,UTTER WORTHLESS/FALSE NOTE c267 §28,3,13,UTTER WORTHLESS/FALSE NOTE,267,28,yes,205,not in the list of non-expungable offenses.,,n
206,"COUNTERFEIT NOTES, POSSESS 10 c267 §9",0,51,"COUNTERFEIT NOTES, POSSESS 10",267,10 c267 §9,yes,206,not in the list of non-expungable offenses.,,n
207,"COUNTERFEIT COINS, POSSESS 10 c267 §17",0,1,"COUNTERFEIT COINS, POSSESS 10",267,10 c267 §17,yes,207,not in the list of non-expungable offenses.,,n
208,FALSE STATEMENT UNDER PENALTY OF PERJURY c268 §1A,65,15,FALSE STATEMENT UNDER PENALTY OF PERJURY,268,1A,yes,208,not in the list of non-expungable offenses.,,n
209,"PUBLIC EMPLOYEE, BRIBE c268A §2(a)",0,2,"PUBLIC EMPLOYEE, BRIBE",268A,2(a),yes,209,not in the list of non-expungable offenses.,,n
210,PUBLIC EMPLOYEE ACCEPT/SOLICIT BRIBE c268A §2(b),0,42,PUBLIC EMPLOYEE ACCEPT/SOLICIT BRIBE,268A,2(b),yes,210,not in the list of non-expungable offenses.,,n
211,PUBLIC EMPLOYEE ACCEPT/SOLICIT GIFT c268A §3(b),0,14,PUBLIC EMPLOYEE ACCEPT/SOLICIT GIFT,268A,3(b),yes,211,not in the list of non-expungable offenses.,,n
212,"PUBLIC EMPLOYEE, FALSE REPORT BY c268 §6A",1,4,"PUBLIC EMPLOYEE, FALSE REPORT BY",268,6A,yes,212,not in the list of non-expungable offenses.,,n
213,"RETURN BY PROCESS SERVER, FALSE c268 §6B",0,1,"RETURN BY PROCESS SERVER, FALSE",268,6B,yes,213,not in the list of non-expungable offenses.,,n
214,"PUBLIC EMPLOYEE FIN STATEMENT, FALSE c268B §7",0,1,"PUBLIC EMPLOYEE FIN STATEMENT, FALSE",268B,7,yes,214,not in the list of non-expungable offenses.,,n
215,"POLICE, MISLEADING c268 §13",0,6,"POLICE, MISLEADING",268,13,yes,215,not in the list of non-expungable offenses.,,n
216,"JUROR, BRIBE c268 §13",0,4,"JUROR, BRIBE",268,13,yes,216,not in the list of non-expungable offenses.,,n
217,"JUROR, ATTEMPT TO BRIBE c268 §13",0,2,"JUROR, ATTEMPT TO BRIBE",268,13,yes,217,not in the list of non-expungable offenses.,,n
218,"PROSECUTOR, MISLEADING c268 §13",0,1,"PROSECUTOR, MISLEADING",268,13,yes,218,not in the list of non-expungable offenses.,,n
219,"COURT/JUDGE/JUROR, PICKETING c268 §13A",0,1,"COURT/JUDGE/JUROR, PICKETING",268,13A,yes,219,not in the list of non-expungable offenses.,,n
220,"WITNESS, INTIMIDATE c268 §13B",947,2654,"WITNESS, INTIMIDATE",268,13B,yes,220,not in the list of non-expungable offenses.,,n
221,"WITNESS/JUROR/POLICE/COURT OFFICIAL, INTIMIDATE AGGRAVATED c268 §13B",2,0,"WITNESS/JUROR/POLICE/COURT OFFICIAL, INTIMIDATE AGGRAVATED",268,13B,yes,221,not in the list of non-expungable offenses.,,n
222,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE c268 §13B",0,99,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE",268,13B,yes,222,not in the list of non-expungable offenses.,,n
223,"JUROR, INTIMIDATE c268 §13B",0,5,"JUROR, INTIMIDATE",268,13B,yes,223,not in the list of non-expungable offenses.,,n
224,"JUROR/WITNESS, INTIMIDATE OR RETALIATE c. 268 s. 13B",0,5,"JUROR/WITNESS, INTIMIDATE OR RETALIATE",268,13B,yes,224,not in the list of non-expungable offenses.,,n
225,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE AGGRAVATED c268 §13B",0,4,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE AGGRAVATED",268,13B,yes,225,not in the list of non-expungable offenses.,,n
226,"WITNESS, RETALIATE AGAINST c268 §13B",0,1,"WITNESS, RETALIATE AGAINST",268,13B,yes,226,not in the list of non-expungable offenses.,,n
227,"WITNESS, INTIMIDATE c268 §13B-HABITUAL",2,0,"WITNESS, INTIMIDATE",268,13B-HABITUAL,yes,227,not in the list of non-expungable offenses.,,n
228,"CRIMINAL PROCEEDING, WITHHOLD EVIDENCE FROM c268 §13E",0,48,"CRIMINAL PROCEEDING, WITHHOLD EVIDENCE FROM",268,13E,yes,228,not in the list of non-expungable offenses.,,n
229,"Mislead a Police Officer, c268,s13B",38,0,"MISLEAD A POLICE OFFICER,","268,",13B,yes,229,not in the list of non-expungable offenses.,,n
230,"COUNTY EMPLOYEE, CONFLICT OF INTEREST c. 268A s. 13",0,1,"COUNTY EMPLOYEE, CONFLICT OF INTEREST",268A,13,yes,230,not in the list of non-expungable offenses.,,n
231,"JUROR, EMPLOYER DISCHARGE c268 §14A",1,0,"JUROR, EMPLOYER DISCHARGE",268,14A,yes,231,not in the list of non-expungable offenses.,,n
232,"ESCAPE, VOLUNTARILY PERMIT PRISONER TO c268 §18",0,1,"ESCAPE, VOLUNTARILY PERMIT PRISONER TO",268,18,yes,232,not in the list of non-expungable offenses.,,n
233,PRISON GUARD HAVE SEX RELATIONS W/PRISONER c268 §21A,0,3,PRISON GUARD HAVE SEX RELATIONS W/PRISONER,268,21A,yes,233,not in the list of non-expungable offenses.,,n
234,"CORRECTIONAL INSTITUTION, DISTURB c268 §30",9,194,"CORRECTIONAL INSTITUTION, DISTURB",268,30,yes,234,not in the list of non-expungable offenses.,,n
235,"PRISONER, DELIVER ARTICLE TO c268 §31",0,8,"PRISONER, DELIVER ARTICLE TO",268,31,yes,235,not in the list of non-expungable offenses.,,n
236,"BADGE, USE WITHOUT AUTHORITY c268 §35",0,2,"BADGE, USE WITHOUT AUTHORITY",268,35,yes,236,not in the list of non-expungable offenses.,,n
237,"MOTOR VEH THEFT, FALSE REPORT OF c268 §39",3,15,"MOTOR VEH THEFT, FALSE REPORT OF",268,39,yes,237,not in the list of non-expungable offenses.,,n
238,"RIOT, OFFICIAL FAIL DISPERSE c269 §3",0,1,"RIOT, OFFICIAL FAIL DISPERSE",269,3,yes,238,not in the list of non-expungable offenses.,,n
239,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF. c269 §10",0,46,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF.",269,10,no,239,,100J(a)19 - Ch 269 S10 a-d violation,n
240,"CHEMICAL MACE WITHOUT FID CARD, POSSESS c269 §10",0,26,"CHEMICAL MACE WITHOUT FID CARD, POSSESS",269,10,no,240,,100J(a)19 - Ch 269 S10 a-d violation,n
241,ARMED CAREER CRIMINAL c269 §10,0,1,ARMED CAREER CRIMINAL,269,10,no,241,,100J(a)19 - Ch 269 S10 a-d violation,n
242,"FIREARM, CARRY WITHOUT LICENSE, 2ND OFF. c269 §10(a) & (d)",2,790,"FIREARM, CARRY WITHOUT LICENSE, 2ND OFF.",269,10(a) & (d),no,242,,100J(a)19 - Ch 269 S10 a-d violation,n
243,"FIREARM, CARRY WITHOUT LICENSE, 3RD OFF. c269 §10(a) & (d)",1,106,"FIREARM, CARRY WITHOUT LICENSE, 3RD OFF.",269,10(a) & (d),no,243,,100J(a)19 - Ch 269 S10 a-d violation,n
244,"FIREARM, CARRY WITHOUT LICENSE, 4TH OFF. c269 §10(a) & (d)",0,19,"FIREARM, CARRY WITHOUT LICENSE, 4TH OFF.",269,10(a) & (d),no,244,,100J(a)19 - Ch 269 S10 a-d violation,n
245,"FIREARM, CARRY WITHOUT LICENSE LOADED, c269 §10(a)(n)",9,0,"FIREARM, CARRY WITHOUT LICENSE LOADED,",269,10(a)(n),no,245,,100J(a)19 - Ch 269 S10 a-d violation,n
246,"DANGEROUS WEAPON, CARRY, 2ND OFF. c269 §10(b) & (d)",1,62,"DANGEROUS WEAPON, CARRY, 2ND OFF.",269,10(b) & (d),no,246,,100J(a)19 - Ch 269 S10 a-d violation,n
247,"DANGEROUS WEAPON, CARRY, 4TH OFF. c269 §10(b) & (d)",0,24,"DANGEROUS WEAPON, CARRY, 4TH OFF.",269,10(b) & (d),no,247,,100J(a)19 - Ch 269 S10 a-d violation,n
248,"DANGEROUS WEAPON, CARRY, 3RD OFF. c269 §10(b) & (d)",0,14,"DANGEROUS WEAPON, CARRY, 3RD OFF.",269,10(b) & (d),no,248,,100J(a)19 - Ch 269 S10 a-d violation,n
249,"SHOTGUN, POSSESS SAWED-OFF, 2ND OFF. c269 §10(c) & (d)",0,19,"SHOTGUN, POSSESS SAWED-OFF, 2ND OFF.",269,10(c) & (d),no,249,,100J(a)19 - Ch 269 S10 a-d violation,n
250,"SHOTGUN, POSSESS SAWED-OFF, 3RD OFF. c269 §10(c) & (d)",0,11,"SHOTGUN, POSSESS SAWED-OFF, 3RD OFF.",269,10(c) & (d),no,250,,100J(a)19 - Ch 269 S10 a-d violation,n
251,"MACHINE GUN, POSSESS, 2ND OFF. c269 §10(c) & (d)",0,2,"MACHINE GUN, POSSESS, 2ND OFF.",269,10(c) & (d),no,251,,100J(a)19 - Ch 269 S10 a-d violation,n
252,"MACHINE GUN, POSSESS LOADED, 4TH OFF c269 s10(c)(d)(n)",1,0,"MACHINE GUN, POSSESS LOADED, 4TH OFF",269,10(c)(d)(n),no,252,,100J(a)19 - Ch 269 S10 a-d violation,n
253,"FIREARM WITHOUT FID CARD, POSSESS c269 §10(h)",33,1287,"FIREARM WITHOUT FID CARD, POSSESS",269,10(h),yes,253,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
254,"FIREARM WITHOUT FID CARD, SUBSQ.OFF. c269 §10(h)",7,151,"FIREARM WITHOUT FID CARD, SUBSQ.OFF.",269,10(h),yes,254,1466 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
255,"AMMUNITION, POSSESS c269 §10(h)",0,1315,"AMMUNITION, POSSESS",269,10(h),yes,255,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
256,"SHOTGUN, POSSESS c269 §10(h)",0,11,"SHOTGUN, POSSESS",269,10(h),yes,256,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
257,"FIREARM W/O FID CARD, POSSESS c. 269 s. 10(h)",0,3,"FIREARM W/O FID CARD, POSSESS",269,10(h),yes,257,1465 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
258,"AMMUNITION, POSSESS WO FID CARD c269 §10/TT",0,1816,"AMMUNITION, POSSESS WO FID CARD",269,10/TT,,258,"there is no 10/tt. Not sure what this is. Seems likely expungable, but there is a high record count so important to get right",,y
259,"AMMUNITION, POSSESS WO FID CARD, SUBSQ.OFF. c269 §10/TT",0,82,"AMMUNITION, POSSESS WO FID CARD, SUBSQ.OFF.",269,10/TT,,259,"there is no 10/tt. Not sure what this is. Seems likely expungable, but there is a high record count so important to get right",,y
260,"SILENCER, SELL/USE/POSSESS FIREARM c269 §10A",2,6,"SILENCER, SELL/USE/POSSESS FIREARM",269,10A,no,260,,100J(a)19 - Ch 269 S10 a-d violation,n
261,"TEAR GAS/MACE, USE IN CRIME c269 §10C",0,3,"TEAR GAS/MACE, USE IN CRIME",269,10C,no,261,,100J(a)19 - Ch 269 S10 a-d violation,n
262,"FIREARM, CARRYING LOADED c269 §10EE",0,2035,"FIREARM, CARRYING LOADED",269,10EE,,262,cannot find 10EE.,,y
263,"FIREARM, SELL/TRANSFER LARGE CAPACITY c269 §10F(a)",0,6,"FIREARM, SELL/TRANSFER LARGE CAPACITY",269,10F(a),,263,,,y
264,"FIREARM TO MINOR, SELL/TRANSFER LARGE CAPACITY c269 §10F(b)",0,2,"FIREARM TO MINOR, SELL/TRANSFER LARGE CAPACITY",269,10F(b),,264,,,y
265,FIREARM VIOL WITH 1 PRIOR VIOLENT/DRUG CRIME c269 §10G(a),11,295,FIREARM VIOL WITH 1 PRIOR VIOLENT/DRUG CRIME,269,10G(a),no,265,this is a combination of having violated Ch 269 S10 a-d and having been previously convicted of a violent crime or of a serious drug offense,100J(a)19 - Ch 269 S10 a-d violation,n
266,FIREARM VIOL WITH 2 PRIOR VIOLENT/DRUG CRIMES c269 §10G(b),11,154,FIREARM VIOL WITH 2 PRIOR VIOLENT/DRUG CRIMES,269,10G(b),no,266,this is a combination of having violated Ch 269 S10 a-d and having been previously convicted of a violent crime or of a serious drug offense,100J(a)19 - Ch 269 S10 a-d violation,n
267,FIREARM VIOL WITH 3 PRIOR VIOLENT/DRUG CRIMES c269 §10G(c),8,217,FIREARM VIOL WITH 3 PRIOR VIOLENT/DRUG CRIMES,269,10G(c),no,267,this is a combination of having violated Ch 269 S10 a-d and having been previously convicted of a violent crime or of a serious drug offense,100J(a)19 - Ch 269 S10 a-d violation,n
268,"FIREARM, INTOXICATED LICENSEE CARRY c269 §10H",29,36,"FIREARM, INTOXICATED LICENSEE CARRY",269,10H,yes,268,not in the list of non-expungable offenses.,,y
269,"AMMUNITION, POSSESSION OF c. 269 s. 10H",0,4,"AMMUNITION, POSSESSION OF",269,10H,yes,269,not in the list of non-expungable offenses.,,y
270,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF, C269,S10(a)(d)(n)",1,0,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF, C269,S10(A)(D)(N)","269,",10(a)(d)(n),no,270,,100J(a)19 - Ch 269 S10 a-d violation,n
271,"RIFLE/SHOTGUN ON WAY, CARRY LOADED c269 §12D",0,1,"RIFLE/SHOTGUN ON WAY, CARRY LOADED",269,12D,yes,271,1484 on Master Crime List offense with Expunge categories.xlsx from Sana,,y
272,AIRPORT SECURITY VIOLATION c269 §12F,0,17,AIRPORT SECURITY VIOLATION,269,12F,yes,272,not in the list of non-expungable offenses.,,y
273,"BOMB THREAT, FALSE c269 §14(a)",8,41,"BOMB THREAT, FALSE",269,14(a),yes,273,1490 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
274,"FIREARMS, DISTRIBUTION OF c269 §10E(1)",0,1,"FIREARMS, DISTRIBUTION OF",269,10E(1),no,274,,100J(a)20 - Ch 269 S10E violation,n
275,"HARMFUL SUBSTANCE, PEDDLE c270 §3",0,21,"HARMFUL SUBSTANCE, PEDDLE",270,3,yes,275,not in the list of non-expungable offenses.,,n
276,"CIGARETTES TO MINOR, DELIVER c270 §6",0,1,"CIGARETTES TO MINOR, DELIVER",270,6,yes,276,not in the list of non-expungable offenses.,,n
277,"ARSENIC TEST, FAIL FURNISH SAMPLE FOR c270 §11",0,1,"ARSENIC TEST, FAIL FURNISH SAMPLE FOR",270,11,yes,277,not in the list of non-expungable offenses.,,n
278,"TRASH, LITTER c270 §16",25,29,"TRASH, LITTER",270,16,yes,278,not in the list of non-expungable offenses.,,n
279,"TRASH, LITTER FROM MV c270 §16",25,32,"TRASH, LITTER FROM MV",270,16,yes,279,not in the list of non-expungable offenses.,,n
