Charges,NW Counts,SF Counts
"DOG, FAIL LICENSE c140 §137",67,1
"DOG, TETHERING OR CONFINING VIOLATION c140 §174E(f)",0,1
DOG/CAT RABIES VACCINATION VIOLATION c140 §145B,14,1
DRINKING IN PUBLIC c. 138 s. 1,0,227
DRUG DEALER FAIL PAY TAX c64K §9,0,1
"DRUG FUNDS, INDUCE MINOR TO POSSESS c94C §32K",0,1
"DRUG LABEL, REMOVE/ALTER c94C §25(4)",1,5
"DRUG PARAPHERNALIA, DISTRIBUTE c94C §32I(a)",0,13
"DRUG PARAPHERNALIA, POSSESS TO DISTRIB c94C §32I(a)",3,8
DRUG TO CONFINE c265 §26B,0,1
DRUG VIOLATION NEAR SCHOOL c. 94C s. 32J,0,1
DRUG VIOLATION NEAR SCHOOL c94C §32J,1,0
DRUG VIOLATION NEAR SCHOOL/PARK c. 94C s. 32J,0,4
DRUG VIOLATION NEAR SCHOOL/PARK c94C §32J,23,2820
"DRUG, DISPENSE W/O PRESCRIPTION c94C §25(1)",3,0
"DRUG, DISTRIBUTE CLASS A c94C §32(a)",90,1809
"DRUG, DISTRIBUTE CLASS A, SUBSQ.OFF. c94C §32(b)",17,593
"DRUG, DISTRIBUTE CLASS B c94C §32A(a)",55,2565
"DRUG, DISTRIBUTE CLASS B, HABITUAL c94C §32A(b)",3,0
"DRUG, DISTRIBUTE CLASS B, SUBSQ.OFF. c94C §32A(b)",9,907
"DRUG, DISTRIBUTE CLASS C c94C §32B(a)",6,322
"DRUG, DISTRIBUTE CLASS C, SUBSQ.OFF. c94C §32B(b)",2,20
"DRUG, DISTRIBUTE CLASS D c94C §32C(a)",41,913
"DRUG, DISTRIBUTE CLASS D, SUBSQ.OFF. c94C §32C(b)",4,110
"DRUG, DISTRIBUTE CLASS E c94C §32D(a)",1,289
"DRUG, DISTRIBUTE CLASS E, SUBSQ.OFF. c94C §32D(b)",0,20
"DRUG, DISTRIBUTE OR POSSESS WITH INTENT CLASS D c. 94C s. 32C(a)",0,4
"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A c. 94C s. 32(a)",0,3
"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A, SUBSQ. OFF. c. 94C s. 32(b)",0,3
"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B c. 94C s. 32A(a)",0,5
"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B, SUBSQ. OFF. c. 94C s. 32A(b)",0,1
"DRUG, FAIL REPORT DISPENSING c94C §24(a)",0,2
"DRUG, FALSE REGIS NUMBER FOR c94C §33(a)",54,1
"DRUG, FALSE REGIS NUMBER FOR, SUBSQ.OFF. c94C §33(c)",0,16
"DRUG, INDUCE MINOR TO DISTRIBUTE c94C §32K",3,4
"DRUG, LARCENY OF c94C §37",38,45
"DRUG, OBTAIN BY FRAUD c94C §33(b)",222,68
"DRUG, OBTAIN BY FRAUD, SUBSQ.OFF. c94C §33(c)",0,8
"DRUG, PHARMACIST FAIL LABEL c. 94C s. 21",0,3
"DRUG, POSSESS CLASS A c. 94C s. 34",0,3
"DRUG, POSSESS CLASS A c94C §34",935,2987
"DRUG, POSSESS CLASS A, SUBSQ.OFF. c94C §34",151,285
"DRUG, POSSESS CLASS B c. 94C s. 34",0,5
"DRUG, POSSESS CLASS B c94C §34",1081,5770
"DRUG, POSSESS CLASS B, SUBSQ.OFF. c94C §34",185,834
"DRUG, POSSESS CLASS C c. 94C s. 34",0,2
"DRUG, POSSESS CLASS C c94C §34",220,1148
"DRUG, POSSESS CLASS C, SUBSQ.OFF. c94C §34",9,26
"DRUG, POSSESS CLASS D c. 94C s. 34",0,1
"DRUG, POSSESS CLASS D c94C §34",63,299
"DRUG, POSSESS CLASS D, SUBSQ.OFF. c94C §34",5,16
"DRUG, POSSESS CLASS E c. 94C s. 34",0,2
"DRUG, POSSESS CLASS E c94C §34",458,1894
"DRUG, POSSESS CLASS E, SUBSQ.OFF. c94C §34",0,1
"DRUG, POSSESS TO DISTRIB CLASS A c94C §32(a)",265,1458
"DRUG, POSSESS TO DISTRIB CLASS A, SUBSQ. c94C §32(b)",33,431
"DRUG, POSSESS TO DISTRIB CLASS B c94C §32A(a)",198,2955
"DRUG, POSSESS TO DISTRIB CLASS B, HABITUAL c94C §32A(b)",10,0
"DRUG, POSSESS TO DISTRIB CLASS B, SUBSQ. c94C §32A(b)",16,781
"DRUG, POSSESS TO DISTRIB CLASS C c94C §32B(a)",41,636
"DRUG, POSSESS TO DISTRIB CLASS C, HABITUAL c94C §32B(b)",4,0
"DRUG, POSSESS TO DISTRIB CLASS C, SUBSQ. c94C §32B(b)",2,71
"DRUG, POSSESS TO DISTRIB CLASS D c94C §32C(a)",154,2324
"DRUG, POSSESS TO DISTRIB CLASS D, SUBSQ. c94C §32C(b)",13,256
"DRUG, POSSESS TO DISTRIB CLASS E c94C §32D(a)",14,551
"DRUG, POSSESS TO DISTRIB CLASS E, SUBSQ. c94C §32D(b)",0,33
"DUMPSTER, USE OF ANOTHER'S COMMERCIAL c266 §146",1,1
Deactivation or removal of a theft detection w/ the intent to steal c266 §30B(e),26,0
"Disorderly Conduct, Subsq. Off.",122,0
Distribution of a theft device deactivator c266 §30B(c),3,0
"Disturbing The Peace, Subsq. Off.",9,0
"ELDER ABUSE, FAIL REPORT c19A §15(a)",0,1
"ELDER/DISABLED, PERMIT INJURY TO c265 §13K(d)",1,23
"ELDER/DISABLED, PERMIT SERIOUS INJURY TO c265 §13K(e)",0,5
"ELECTRIC STUN GUN, SELL/POSSESS c. 140 s. 131J",0,1
"ELECTRIC STUN GUN, SELL/POSSESS c141 §131J",25,0
"ELECTRIC STUN GUN, SELL/POSSESS c141 §31J",0,111
"ELECTRICITY, FRAUDULENT USE OF c164 §127",1,4
ELECTRONIC FUND TRANSFER VIOL UNDER $100 c167B §21(b),1,0
ELECTRONIC MESSAGING WHILE OPERATING MV,0,120
"EMERGENCY VEHICLE, OBSTRUCT * c89 §7A",13,77
"EMERGENCY VEHICLE, OBSTRUCT STATIONARY",23,0
"EMERGENCY VEHICLE, WILFULLY OBSTRUCT c89 §7",12,40
"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D c89 §7",0,1
"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 3D c89 §7",7,25
"EMISSIONS, ATT REGISTER MV WITH IMPROPER c90 §2",0,1
"EMISSIONS, REGISTER MV WITH IMPROPER c90 §2",1,7
EMPLOYER FAIL PAY WAGES TIMELY c149 §148,0,1
"ENDANGERMENT TO CHILDREN, RECKLESS c. 265 s. 13L",0,3
"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR c266 §17",0,2
"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR c266 §17",3,63
ENTER DWELLING AT NIGHT FOR FELONY c266 §18,5,180
"ENTER DWELLING AT NIGHT FOR FELONY, ARMED c266 §18",0,2
ENTER DWELLING FOR FELONY BY FALSE PRETENSES c266 §18A,1,8
ENTICE CHILD UNDER 16,27,0
ENTICEMENT OF CHILDREN,0,60
"EQUIPMENT VIOLATION, MISCELLANEOUS MV * c90 §7",430,506
"ESCAPE FROM COUNTY PRISON FARM, ATTEMPT c126 §37",0,1
ESCAPE FROM MUNICIPAL LOCKUP c268 §15A,0,7
"ESCAPE FROM OFFICER, AID c268 §17",0,11
ESCAPE FROM PENAL INSTITUTION/COURT c268 §16,2,27
"ESCAPE FROM PENAL INSTITUTION/COURT, ATT c268 §16",2,7
ESCAPE FROM PENAL INSTITUTION/COURT/SDP CENTER OR ATTEMPTS c. 268 s. 16,0,1
ESCAPE FROM POLICE OFFICER (Common Law),1,2
"ESCAPE, AID FELON OR ACCUSED FELON TO c268 §15",0,1
"ESCAPE, VOLUNTARILY PERMIT PRISONER TO c268 §18",0,1
EXCAVATION BY-LAW VIOLATION c40 §21(19),0,1
"EXPLOSION, MALICIOUS c266 §101",0,1
"EXPLOSIVES, POSSESS TO INJURE c266 §102",1,10
"EXPLOSIVES, THROW/PLACE/EXPLODE c266 §102",0,6
"EXPLOSIVES, THROW/PLACE/EXPLODE c266 §102A",25,0
EXTORTION BY FALSE REPORT OF CRIME c. 265 s. 25,0,1
EXTORTION BY FALSE REPORT OF CRIME c265 §25,4,20
EXTORTION BY THREAT OF INJURY c265 §25,1,36
"FAILURE TO OBEY PAVEMENT MARKINGS/LINES, OPERATING AND c. 89 s. 4",0,2
FAILURE TO REGISTER OR VERIFY REGISRATION INFO BY SEX OFFENDER c. 6 s. 178H,0,2
FALSE ALARM FROM POLICE CALL BOX c268 §32,0,1
FALSE CLAIM TO GOVERNMENT AGENCY c266 §67B,0,7
"FALSE NAME/SSN, ARRESTEE FURNISH c268 §34A",44,910
"FALSE OR SILENT 911 CALL, MAKING c269 §14B",0,15
FALSE PRETENSE IN COMMER TRANSACTN +$250 c266 §33(1) & §30(1),0,9
FALSE PRETENSE IN COMMER TRANSACTN -$250 c266 §33(1) & §30(1),0,1
"FALSE PRETENSE OF TRADE, OBTAIN GOODS BY c266 §73",1,1
FALSE STATEMENT UNDER PENALTY OF PERJURY c268 §1A,65,15
FALSE/SILENT 911 CALL,12,0
"FEEDING DEVICE, POSSESS LARGE CAPACITY c269 §10(m)",59,0
"FENCE, VANDALIZE c266 §114",0,3
"FENTANYL, TRAFFICKING IN MORE THAN 10 GRAMS c94C §32E(c1/2)",11,0
"FENTANYL, TRAFFICKING IN, OVER 10 GRAMS c94C §32E(c)",0,232
"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY c266 §57",2,56
FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS c266 §35/A(b)4,0,2
"FINANCIAL STATEMENT, PUBLISH FALSE c266 §92",0,1
"FIRE ALARM, DISABLE c266 §11",0,5
"FIRE ALARM, FALSE c269 §13",6,63
"FIRE CALL BOX, TAMPER WITH c268 §32",16,42
"FIRE IN OPEN, SET c48 §13",3,0
"FIRE ON ANOTHER'S LAND, SET c266 §8",2,2
"FIRE ON ANOTHER'S LAND, SET c266 §9",8,0
FIRE PREVENTION REGULATIONS VIOLATION c148 §10B,2,0
"FIRE VIOLATION, MISCELLANEOUS c148 §34",3,1
"FIRE, HOTEL MANAGER FAIL RESPOND TO c266 §13A",0,1
"FIREARM IN FELONY, POSSESS LGE CAPACITY c265 §18B",3,65
"FIREARM IN FELONY, POSSESS LGE CAPACITY, SUBSQ. c265 §18B",0,3
"FIREARM IN FELONY, POSSESS c. 265 s. 18B",0,3
"FIREARM IN FELONY, POSSESS c265 §18",0,2
"FIREARM IN FELONY, POSSESS, SUBSQ.OFF c265 §18",0,1
"FIREARM IN VEHICLE, LEAVE",3,0
"FIREARM IN VEHICLE, LEAVE c140 §131C",6,11
FIREARM LICENSE RESTRICTION VIOL c140 §131(a) or (b),1,19
"FIREARM LICENSE, IMPROP ISSUE c140 §131(k)",0,3
"FIREARM ON SCHOOL GROUNDS, CARRY c269 §10(j)",5,13
"FIREARM ON WAY, CARRY LOADED LARGE CAPACITY c269 §12D(a)",0,5
"FIREARM ON WAY, CARRY UNLOADED LARGE CAPACITY c269 §12D(b)",0,1
FIREARM POSSESS LARGE CAPACITY c. 269 s. 10(m),0,2
"FIREARM SALE, IMPROPER c140 §128",1,2
"FIREARM SALE, UNLICENSED c140 §128",0,9
"FIREARM SERIAL NO., DEFACE c269 §11C",10,203
"FIREARM SURRENDER ORDER, VIOLATE c. 209A s. 3C",0,1
"FIREARM SURRENDER ORDER, VIOLATE c209A §3C",2,2
"FIREARM TO MINOR, SELL/TRANSFER LARGE CAPACITY c269 §10F(b)",0,2
"FIREARM TRANSFER/LOSS, OWNER FL REPORT c140 §129C",3,1
FIREARM USE IN FELONY c265 §18B,48,0
FIREARM VIOL WITH 1 PRIOR VIOLENT/DRUG CRIME c269 §10G(a),11,295
FIREARM VIOL WITH 2 PRIOR VIOLENT/DRUG CRIMES c269 §10G(b),11,154
FIREARM VIOL WITH 3 PRIOR VIOLENT/DRUG CRIMES c269 §10G(c),8,217
"FIREARM W/DEFACED NO., POSSESS IN FELONY c269 §11B",5,75
"FIREARM W/DEFACED NO., RECEIVE c269 §11C",1,179
"FIREARM W/O FID CARD, POSSESS c. 269 s. 10(h)",0,3
FIREARM WITHIN 500 FT OF DWELLING c131 §58,7,42
"FIREARM WITHOUT FID CARD, POSSESS c269 §10(a)",181,0
"FIREARM WITHOUT FID CARD, POSSESS c269 §10(h)",33,1287
"FIREARM WITHOUT FID CARD, SUBSQ.OFF. c269 §10(h)",7,151
"FIREARM, ALIEN POSSESS c140 §131H",0,1
"FIREARM, CARRY W/ AMMUNITION c. 269 s. 10(n)",0,364
"FIREARM, CARRY W/O LICENSE c. 269 s. 10(a)",0,10
"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF, C269,S10(a)(d)(n)",1,0
"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF. c269 §10",0,46
"FIREARM, CARRY WITHOUT LICENSE LOADED, c269 §10(a)(n)",9,0
"FIREARM, CARRY WITHOUT LICENSE c269 §10(a)",77,2579
"FIREARM, CARRY WITHOUT LICENSE, 2ND OFF. c269 §10(a) & (d)",2,790
"FIREARM, CARRY WITHOUT LICENSE, 3RD OFF. c269 §10(a) & (d)",1,106
"FIREARM, CARRY WITHOUT LICENSE, 4TH OFF. c269 §10(a) & (d)",0,19
"FIREARM, CARRYING LOADED c269 §10EE",0,2035
"FIREARM, DISCHARGE NEAR HWAY c131 §58",3,1
"FIREARM, DISCHARGE WITHIN 500 FT OF BLDG c. 269 s. 12E",0,1
"FIREARM, DISCHARGE WITHIN 500 FT OF BLDG c269 §12E",23,310
"FIREARM, FAIL REPORT UNAUTHORIZED c140 §128B",3,0
"FIREARM, INTOXICATED LICENSEE CARRY c269 §10H",29,36
"FIREARM, LARCENY OF c. 266 s. 30",0,1
"FIREARM, LARCENY OF c266 §30(1)",45,36
"FIREARM, POSSESS LARGE CAPACITY FEEDING DEVICE c269 §10(m)",0,381
"FIREARM, POSSESS LARGE CAPACITY c269 §10(m)",57,619
"FIREARM, POSSESS c269 §10(a)",0,47
"FIREARM, POSSESS, SUBSEQUENT OFFENSE c269 §10(d)",0,2
"FIREARM, POSSESSION OF A LOADED c269§10(n)",10,0
"FIREARM, SELL/TRANSFER LARGE CAPACITY c269 §10F(a)",0,6
"FIREARM, STORE IMPROP LARGE CAPACITY c140 §131L(a)&(b)",22,35
"FIREARM, STORE IMPROP LARGE-CAPACITY NEAR MINOR c140 §131L(a)&(d)",11,8
"FIREARM, STORE IMPROP c140 §131L(a)&(b)",187,195
"FIREARM, STORE IMPROPER c. 140 s. 131L(a)",0,1
"FIREARM/LICENSE/FID CARD, FAIL SURRENDER c269 §10(i)",2,3
FIREARMS VIOL WITH 2 PRIOR VIOLENT/DRUG CRIME c. 269 s. 10(a),0,1
"FIREARMS, DISTRIBUTION OF c269 §10E(1)",0,1
"FIREARMS, TRAFFICKING IN +19 c269 §10E",0,5
"FIREARMS, TRAFFICKING IN 3-9 c269 §10E",0,20
"FIREFIGHTER, INJURE c265 §13D½",0,9
"FIREFIGHTER, INTERFERE WITH c268 §32A",4,18
"FIREWORKS, POSSESS UNLAWFUL c148 §39",22,30
"FIREWORKS, SELL UNLAWFUL c148 §39",0,2
"FISH, THROW OVERBOARD UPON INSPECTION c130 §13",0,4
"FISH/WILD ANIMAL, DEAL WITHOUT LIC c131 §23",0,1
FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00,5,0
"FISHING, COMMERCIAL LICENSE VIOL c130 §80",0,3
FLARES VIOLATION BY COMMERCIAL VEHICLE * c85 §14B,0,1
"FOREST CUTTING, UNLICENSED COMMERCIAL c132 §46",1,0
FORGERY (Common Law),0,12
FORGERY OF BANK NOTE c267 §8,0,11
FORGERY OF CHECK c267 §1,364,809
FORGERY OF DOCUMENT c267 §1,28,414
FORGERY OF ORDER FOR MONEY c267 §1,2,5
FORGERY OF PROMISSORY NOTE ENDORSEMENT c267 §1,2,2
"FRAUD/CHEAT, GROSS c. 266 s. 76",0,1
"FRAUD/CHEAT, GROSS c266 §76",0,8
FUGITIVE FROM JUSTICE ON COURT WARRANT c276 §20A,198,735
FUGITIVE FROM JUSTICE ON GOV'S WARRANT c276 §19,2,31
FUGITIVE FROM JUSTICE WITHOUT WARRANT c276 §20B,4,204
"FUGITIVE, FAIL BRING BEFORE COURT c276 §19",1,0
"FUNERAL DIRECTOR, UNLICENSED c112 §87",0,200
"FUNERAL PROCESSION, DISTURB c272 §42",0,6
"FUNERAL SERVICE, DISTURB c272 §42A",0,1
"Fail to Register as Sex Offender, Level 2 or 3",5,0
"Failure to Register,Sex Offender,2nd or Sub,c6,s178H(a)(2)-SUBSEQUENT",1,0
"Forging retail receipt, prict ticket, or UPC label w/ intent to defraud c266 §30C",15,0
"GAMBLING NUISANCE, MAINTAIN c139 §14-§15",0,3
"GAMING ENTERPRISE, MANAGE c271 §16A",0,3
"GAMING HOUSE, KEEP COMMON c271 §5",0,5
GAMING IN PUBLIC/TRESPASSING c271 §2,0,4
"GARDEN/ORCHARD/NURSERY/BOG, LARCENY FROM c266 §115",1,1
"GAS, FRAUDULENT USE OF c164 §126",0,2
"GLASS IN BUILDING, BREAK c266 §114",0,7
"GLASS, THROW ON PUBLIC WAY c265 §32",1,9
"GLUE/TOXIC SUBSTANCE, INHALE c270 §18",18,18
"GOLD, FRAUD IN FINENESS OF c266 §78",0,2
"GRAVE FLOWERS/FLAG/TOKEN, REMOVE c272 §75",3,0
"GRAVE PLANTING, VANDALIZE c272 §73",1,1
"GRAVE, DISTURB c272 §73",0,2
"GRAVESTONE, VANDALIZE c272 §73",1,3
HABITUAL OFFENDER c279 §25,0,4
HANDICAP PARKING PLATE MISUSE * c90 §2,2,7
HANG ONTO MV c90 §13,1,2
"HANG ONTO MV, 2ND OFFENSE c90 §13",0,2
"HARASSMENT PREVENTION ORDER, VIOLATE c258 §9",0,484
"HARASSMENT, CRIMINAL c265 §43A(a)",80,441
"HARASSMENT, CRIMINAL, SUBSQ.OFF.  c265 §43A(b)",7,0
"HARASSMENT, CRIMINAL, SUBSQ.OFF. c265 §43A(b)",0,5
"HARMFUL SUBSTANCE, PEDDLE c270 §3",0,21
HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03,0,1
"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",2,2
"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",0,1
"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",47,17
"HEALTH CARE CLAIM, FALSE c175H §2",10,34
"HEALTH/WELFARE FUND, UNAPPROVED c151D §2",0,1
"HEIGHT, MODIFY MV c90 §7P",2,8
"HEIGHT, MODIFY MV, 2ND OFFENSE c90 §7P",0,1
"HEIGHT, OPERATE MV WITH MODIFIED * c90 §7P",1,10
"HEROIN, BEING PRESENT WHERE KEPT c. 94C s. 35",0,1
"HEROIN, BEING PRESENT WHERE KEPT c94C §35",137,394
"HEROIN, POSSESS c94C §34",61,84
"HEROIN, POSSESS, SUBSQ.OFF. c94C §34",9,10
"HEROIN, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,91
"HEROIN, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,41
"HEROIN, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(c)(4)",0,124
"HEROIN, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,157
"HEROIN/MORPHINE/OPIUM 18-36 GRAMS, TRAFFICKING IN c94C §32E(c)(1)",8,0
"HEROIN/MORPHINE/OPIUM 36 GRAMS-100 GRAMS, TRAFFICKING IN c94C §32E(c)(2)",29,0
"HEROIN/MORPHINE/OPIUM, TRAFFICK IN c. 94C s. 32E(c)(4) - 200 or more g",0,1
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN 100 GRAMS OR MORE, LESS THAN 200 GRAMS",16,0
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN 200 GRAMS OR MORE",10,0
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN c94C §32E(c)",0,407
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 100 GRAMS OR MORE c94C §32E(c)",0,7
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE C94c §32E(c)",0,22
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE LESS 36 C94c §32E(c)",0,2
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 200 GRAMS OR MORE C94c §32E(c)",0,6
"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 36 GRAMS OR MORE LESS 100 C94c §32E(c)",0,18
"HIRING VEHICLE, FRAUD IN c266 §64",1,7
"HISTORIC MARKER/MONUMENT, VANDALIZE c266 §95",3,0
HOME IMPROVEMENT CONTRACTOR VIOLATION c142A §19,0,7
"HOME IMPROVEMENT CONTRACTOR, UNLICENSED c142A §19",1,2
HOME INVASION c265 §18C,86,392
"HOME INVASION, FIREARM-ARMED c265 §18C",0,12
"HOME INVASION, SUBSQ.OFF. c265 §18C",0,3
"HORN VIOLATION, MV * c90 §7",0,1
"HOTEL REGISTER, FAIL KEEP c140 §27",0,4
HUNT BY ARTIFICIAL LIGHT c131 §68,3,0
HUNT/FISH IN CLOSED SEASON c131 §5,6,0
HUNT/FISH WITHOUT LICENSE c131 §11,7,1
"HUNTING INJURY, FAIL REPORT c131 §60",1,0
"HUNTING WEAPON, PERSONAL INJURY WITH c131 §60",1,0
"HYDROMORPHONE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)",0,8
"HYDROMORPHONE, TRAFFICKING IN, OVER 18 GRAMS c94C §32E(c)",0,2
"HYDROMORPHONE, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(c)",0,5
"HYDROMORPHONE, TRAFFICKING IN, OVER 36 GRAMS c94C §32E(c)",0,1
"HYPODERMIC, POSSESS c94C §27(a)",0,5
"Harassment Prevention Order, Violate, c258E/9",45,0
"IDENTIFY SELF, MV OPERATOR REFUSE c90 §25",147,662
"IDENTIFY SELF, REFUSE c40 §21D(c)",2,18
IDENTITY FRAUD c266 §37E,76,541
"IDENTITY FRAUD, POSSESS TOOLS W/INTENT c266 §37Ec1/2",0,2
IDLE ENGINE OF STOPPED MV OVER 5 MINUTES * c90 §16A,1,14
"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT c90 §12(c)",1,0
"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT, SUBSQ. OFF",1,0
"IGNITION INTERLOCK, TAMPER WITH",2,0
"IGNITION INTERLOCK, TAMPER WITH c90/24T(a)",1,0
"IMPROPER OPERATION OF MV, ALLOW * c90 §12",11,1551
INCEST c272 §17,5,16
"INDECENT A&B DISABLED OR PERSON>60, c265s13H",1,0
INDECENT A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY  c265 §13F,12,0
INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES c265 §13B,0,4
INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES c265 §13B1/2,1,0
INDECENT A&B ON CHILD UNDER 14 c265 §13B,258,784
"INDECENT A&B ON CHILD UNDER 14, SUBSQ. c265 §13B",0,13
INDECENT A&B ON DISABLED PERSON OVER 60 c265 §13H/C,0,11
INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES  c265 §13H,2,0
INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES c265 §13H,0,5
INDECENT A&B ON PERSON 14 OR OVER c. 265 s. 13H,0,1
INDECENT A&B ON PERSON 14 OR OVER c265 §13H,167,890
INDECENT A&B ON RETARDED PERSON c265 §13F,0,21
INDECENT EXPOSURE c272 §53,68,424
"INFERNAL MACHINE, POSSESS c266 §102A",1,4
"INNKEEPER, DEFRAUD, OVER $100 c140 §12",7,29
"INNKEEPER, DEFRAUD, UNDER $100 c. 140 s. 12",0,1
"INNKEEPER, DEFRAUD, UNDER $100 c140 §12",3,30
"INSPECTION CERTIFICATE, IMPROPER MV c111 §142M",0,2
"INSPECTION, UNLICENSED MV c90 §7W",2,0
"INSPECTION/STICKER, NO * c90 §20",1738,1874
"INSURANCE CERTIFICATE, FALSE MOTOR VEH c. 90 s. 34B",0,1
"INSURANCE CERTIFICATE, FALSE MV c90 §34B",0,8
"INSURANCE CLAIM, FALSE LIFE c175 §127",2,0
"INSURANCE CLAIM, FALSE MOTOR VEH c. 266 s. 111B",0,2
"INSURANCE CLAIM, FALSE MOTOR VEH c266 §111B",143,229
"INSURANCE CLAIM, PREPARE FALSE c266 §111A",1,13
"INSURANCE CLAIM, PRESENT FALSE c266 §111A",3,23
"INSURANCE INFO, GET ON FALSE PRETENSES c175I §22",0,1
INSURANCE VIOLATION c175 §194,0,1
INTIMIDATE TO STEAL FROM DEPOSITORY c265 §21,3,18
"INTIMIDATE TO STEAL FROM DEPOSITORY, ATT c265 §21",0,1
INVOLUNTARY MANSLAUGHTER BY MOTOR VEHICLE c265 §13 1/2,1,0
INVOLUNTARY MANSLAUGHTER c265§13,5,0
"Ignition Interlock For Another, Bypass 90/24U(a)(1)",2,0
JET SKI VIOLATION 323 CMR §4.03,2,0
JUNIOR OPERATOR OP 12-5 AM W/O PARENT c90 §§8 & 10,7,6
JUNIOR OPERATOR WITH PASSENGER UNDER 18 * c90 §8,8,0
JUROR FAIL TO ATTEND c234A §42,370,1363
"JUROR PROCESSING, FRAUD IN c234A §71",1,0
"JUROR, ATTEMPT TO BRIBE c268 §13",0,2
"JUROR, BRIBE c268 §13",0,4
"JUROR, EMPLOYER DISCHARGE c268 §14A",1,0
"JUROR, INTIMIDATE c268 §13B",0,5
"JUROR/WITNESS, INTIMIDATE OR RETALIATE c. 268 s. 13B",0,5
"KEEP RIGHT FOR ONCOMING MV, FAIL TO * c89 §1",21,46
"KEEP RIGHT ON HILL/OBSTRUCTED VIEW, FL * c89 §4",14,11
KIDNAPPING & ENDANGER MINOR BY RELATIVE c265 §26A,1,4
KIDNAPPING FOR EXTORTION c265 §09,0,3
"KIDNAPPING FOR EXTORTION, FIREARM-ARMED c265 §26",1,1
KIDNAPPING MINOR BY RELATIVE c265 §26A,3,23
KIDNAPPING OF CHILD c265 §26,2,8
KIDNAPPING PERSON IN CUSTODY c265 §26A,0,1
"KIDNAPPING WITH SERIOUS BODILY INJURY, ARMED c265 §26",0,3
"KIDNAPPING WITH SEXUAL ASSAULT, ARMED c. 265 s. 26",0,1
"KIDNAPPING WITH SEXUAL ASSAULT, ARMED c265 §26",0,5
KIDNAPPING c265 §26,70,636
"KIDNAPPING, FIREARM-ARMED c265 §26",9,18
LANDLORD ATTMPT REGAIN PREMISES BY FORCE c186 §14,1,0
LANDLORD INTERFERE WITH QUIET ENJOYMENT c186 §14,1,1
LARCENY BY CHECK OVER $1200 c266 §37 & §30(1),1,7
LARCENY BY CHECK OVER $250 c266 §37 & §30(1),90,357
LARCENY BY CHECK UNDER $1200 c266 §37 & §30(1),0,1
LARCENY BY CHECK UNDER $250 c266 §37 & §30(1),60,133
"LARCENY BY SINGLE SCHEME, ATTEMPTED c266 §30L",0,16
LARCENY FROM BUILDING c266 §20,184,1495
LARCENY FROM BUILDING c266 §20 - HABITUAL,2,0
LARCENY FROM PERSON +65 c. 266 s. 25,0,4
LARCENY FROM PERSON +65 c266 §25(a),14,50
"LARCENY FROM PERSON +65, SUBSQ.OFF. c266 §25(a)",0,7
LARCENY FROM PERSON c. 266 s. 25,0,22
LARCENY FROM PERSON c266 §25(b),97,710
LARCENY OVER $1200 BY FALSE PRETENSE c266 §34 & 30(1),1,0
