"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"322","ASSAULT IN DWELLING, FIREARM-ARMED c265 §18A",1,20,"ASSAULT IN DWELLING, FIREARM-ARMED","265","18A","No","ASSAULTINDWELLINGFIREARMARMEDc26518A"
"323","ASSAULT IN DWELLING, ARMED, FIREARM c. 265 s. 18A",0,2,"ASSAULT IN DWELLING, ARMED, FIREARM","265","18A","No","ASSAULTINDWELLINGARMEDFIREARMc265s18A"
"324","FIREARM USE IN FELONY c265 §18B",48,0,"FIREARM USE IN FELONY","265","18B","No","FIREARMUSEINFELONYc26518B"
"325","FIREARM IN FELONY, POSSESS LGE CAPACITY c265 §18B",3,65,"FIREARM IN FELONY, POSSESS LGE CAPACITY","265","18B","No","FIREARMINFELONYPOSSESSLGECAPACITYc26518B"
"326","FIREARM IN FELONY, POSSESS c. 265 s. 18B",0,3,"FIREARM IN FELONY, POSSESS","265","18B","No","FIREARMINFELONYPOSSESSc265s18B"
"327","FIREARM IN FELONY, POSSESS LGE CAPACITY, SUBSQ. c265 §18B",0,3,"FIREARM IN FELONY, POSSESS LGE CAPACITY, SUBSQ.","265","18B","No","FIREARMINFELONYPOSSESSLGECAPACITYSUBSQc26518B"
"328","HOME INVASION c265 §18C",86,392,"HOME INVASION","265","18C","No","HOMEINVASIONc26518C"
"329","HOME INVASION, FIREARM-ARMED c265 §18C",0,12,"HOME INVASION, FIREARM-ARMED","265","18C","No","HOMEINVASIONFIREARMARMEDc26518C"
"330","HOME INVASION, SUBSQ.OFF. c265 §18C",0,3,"HOME INVASION, SUBSQ.OFF.","265","18C","No","HOMEINVASIONSUBSQOFFc26518C"
"331","ROBBERY +60, UNARMED c265 §19(a)",3,82,"ROBBERY +60, UNARMED","265","19(a)","No","ROBBERY60UNARMEDc26519a"
"332","ROBBERY +60, UNARMED, SUBSQ.OFF. c265 §19(a)",0,6,"ROBBERY +60, UNARMED, SUBSQ.OFF.","265","19(a)","No","ROBBERY60UNARMEDSUBSQOFFc26519a"
"333","ROBBERY, UNARMED c265 §19(b)",71,1318,"ROBBERY, UNARMED","265","19(b)","No","ROBBERYUNARMEDc26519b"
"334","ROBBERY, UNARMED c265 §19(b) - HABITUAL OFFENDER",1,0,"ROBBERY, UNARMED","265","19(b) - HABITUAL OFFENDER","No","ROBBERYUNARMEDc26519bHABITUALOFFENDER"
"335","ASSAULT TO ROB, UNARMED c265 §20",4,168,"ASSAULT TO ROB, UNARMED","265","20","No","ASSAULTTOROBUNARMEDc26520"
"336","INTIMIDATE TO STEAL FROM DEPOSITORY c265 §21",3,18,"INTIMIDATE TO STEAL FROM DEPOSITORY","265","21","No","INTIMIDATETOSTEALFROMDEPOSITORYc26521"
"337","CONFINE OR PUT IN FEAR TO STEAL/OR ATTEMPT c. 265 s. 21",0,5,"CONFINE OR PUT IN FEAR TO STEAL/OR ATTEMPT","265","21","No","CONFINEORPUTINFEARTOSTEALORATTEMPTc265s21"
"338","INTIMIDATE TO STEAL FROM DEPOSITORY, ATT c265 §21",0,1,"INTIMIDATE TO STEAL FROM DEPOSITORY, ATT","265","21","No","INTIMIDATETOSTEALFROMDEPOSITORYATTc26521"
"339","CARJACKING, ARMED c265 §21A",2,37,"CARJACKING, ARMED","265","21A","No","CARJACKINGARMEDc26521A"
"340","CARJACKING c265 §21A",0,81,"CARJACKING","265","21A","No","CARJACKINGc26521A"
"341","CARJACKING, FIREARM-ARMED c265 §21A",0,11,"CARJACKING, FIREARM-ARMED","265","21A","No","CARJACKINGFIREARMARMEDc26521A"
"342","RAPE, AGGRAVATED c265 §22(a)",15,201,"RAPE, AGGRAVATED","265","22(a)","No","RAPEAGGRAVATEDc26522a"
"343","RAPE, AGGRAVATED, SUBSQ.OFF. c265 §22(a)",0,8,"RAPE, AGGRAVATED, SUBSQ.OFF.","265","22(a)","No","RAPEAGGRAVATEDSUBSQOFFc26522a"
"344","RAPE, AGGRAVATED FIREARM-ARMED, SUBSQ.OFF. c265 §22(a)",0,2,"RAPE, AGGRAVATED FIREARM-ARMED, SUBSQ.OFF.","265","22(a)","No","RAPEAGGRAVATEDFIREARMARMEDSUBSQOFFc26522a"
"345","RAPE, AGGRAVATED c. 265 s. 22(a)",0,1,"RAPE, AGGRAVATED","265","22(a)","No","RAPEAGGRAVATEDc265s22a"
"346","RAPE, AGGRAVATED FIREARM-ARMED c265 §22(a)",0,1,"RAPE, AGGRAVATED FIREARM-ARMED","265","22(a)","No","RAPEAGGRAVATEDFIREARMARMEDc26522a"
"347","RAPE c265 §22(b)",77,390,"RAPE","265","22(b)","No","RAPEc26522b"
"348","RAPE, SUBSQ.OFF. c265 §22(b)",0,15,"RAPE, SUBSQ.OFF.","265","22(b)","No","RAPESUBSQOFFc26522b"
"349","RAPE c. 265 s. 22(b)",0,7,"RAPE","265","22(b)","No","RAPEc265s22b"
"350","RAPE, FIREARM-ARMED c265 §22(b)",0,1,"RAPE, FIREARM-ARMED","265","22(b)","No","RAPEFIREARMARMEDc26522b"
"351","RAPE OF CHILD WITH FORCE c265 §22A",56,101,"RAPE OF CHILD WITH FORCE","265","22A","No","RAPEOFCHILDWITHFORCEc26522A"
"352","RAPE OF CHILD WITH FORCE c. 265 s. 22A",0,3,"RAPE OF CHILD WITH FORCE","265","22A","No","RAPEOFCHILDWITHFORCEc265s22A"
"353","RAPE OF CHILD WITH FORCE, SUBSQ.OFF. c265 §22A",0,1,"RAPE OF CHILD WITH FORCE, SUBSQ.OFF.","265","22A","No","RAPEOFCHILDWITHFORCESUBSQOFFc26522A"
"354","RAPE OF A CHILD WITH FORCE, AGGRAVATED c265 §22B",4,0,"RAPE OF A CHILD WITH FORCE, AGGRAVATED","265","22B","No","RAPEOFACHILDWITHFORCEAGGRAVATEDc26522B"
"355","RAPE AND ABUSE OF A CHILD c265 §23",62,0,"RAPE AND ABUSE OF A CHILD","265","23","No","RAPEANDABUSEOFACHILDc26523"
"356","RAPE OF CHILD, STATUTORY c265 §23",0,269,"RAPE OF CHILD, STATUTORY","265","23","No","RAPEOFCHILDSTATUTORYc26523"
"357","RAPE OF CHILD, AGGRAVATED, TEN YEAR AGE DIFF c265 §23",0,182,"RAPE OF CHILD, AGGRAVATED, TEN YEAR AGE DIFF","265","23","No","RAPEOFCHILDAGGRAVATEDTENYEARAGEDIFFc26523"
"358","RAPE OF CHILD, STATUTORY, SUBSQ.OFF. c265 §23",0,16,"RAPE OF CHILD, STATUTORY, SUBSQ.OFF.","265","23","No","RAPEOFCHILDSTATUTORYSUBSQOFFc26523"
"359","RAPE OF CHILD, STATUTORY c. 265 s. 23",0,5,"RAPE OF CHILD, STATUTORY","265","23","No","RAPEOFCHILDSTATUTORYc265s23"
"360","AGGRAVATED RAPE &  ABUSE OF A CHILD, 5 YEAR AGE DIFFERENCE c265s23A(a)",74,0,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 5 YEAR AGE DIFFERENCE","265","23A(a)","","AGGRAVATEDRAPEABUSEOFACHILD5YEARAGEDIFFERENCEc265s23Aa"
"361","AGGRAVATED RAPE &  ABUSE OF A CHILD, 10 YEAR AGE DIFFERENCE c265s23A(b)",21,0,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 10 YEAR AGE DIFFERENCE","265","23A(b)","","AGGRAVATEDRAPEABUSEOFACHILD10YEARAGEDIFFERENCEc265s23Ab"
"362","RAPE OF CHILD, STATUTORY AGGRAVATED c265 §23A/A",0,154,"RAPE OF CHILD, STATUTORY AGGRAVATED","265","23A/A","No","RAPEOFCHILDSTATUTORYAGGRAVATEDc26523AA"
"363","ASSAULT TO RAPE c265 §24",10,113,"ASSAULT TO RAPE","265","24","No","ASSAULTTORAPEc26524"
"364","ASSAULT TO RAPE, FIREARM-ARMED c265 §24",0,1,"ASSAULT TO RAPE, FIREARM-ARMED","265","24","No","ASSAULTTORAPEFIREARMARMEDc26524"
"365","ASSAULT TO RAPE CHILD c265 §24B",6,30,"ASSAULT TO RAPE CHILD","265","24B","No","ASSAULTTORAPECHILDc26524B"
"366","EXTORTION BY FALSE REPORT OF CRIME c265 §25",4,20,"EXTORTION BY FALSE REPORT OF CRIME","265","25","No","EXTORTIONBYFALSEREPORTOFCRIMEc26525"
"367","EXTORTION BY THREAT OF INJURY c265 §25",1,36,"EXTORTION BY THREAT OF INJURY","265","25","No","EXTORTIONBYTHREATOFINJURYc26525"
"368","EXTORTION BY FALSE REPORT OF CRIME c. 265 s. 25",0,1,"EXTORTION BY FALSE REPORT OF CRIME","265","25","No","EXTORTIONBYFALSEREPORTOFCRIMEc265s25"
"369","KIDNAPPING c265 §26",70,636,"KIDNAPPING","265","26","No","KIDNAPPINGc26526"
"370","KIDNAPPING, FIREARM-ARMED c265 §26",9,18,"KIDNAPPING, FIREARM-ARMED","265","26","No","KIDNAPPINGFIREARMARMEDc26526"
"371","KIDNAPPING OF CHILD c265 §26",2,8,"KIDNAPPING OF CHILD","265","26","No","KIDNAPPINGOFCHILDc26526"
"372","KIDNAPPING FOR EXTORTION, FIREARM-ARMED c265 §26",1,1,"KIDNAPPING FOR EXTORTION, FIREARM-ARMED","265","26","No","KIDNAPPINGFOREXTORTIONFIREARMARMEDc26526"
"373","KIDNAPPING WITH SEXUAL ASSAULT, ARMED c265 §26",0,5,"KIDNAPPING WITH SEXUAL ASSAULT, ARMED","265","26","No","KIDNAPPINGWITHSEXUALASSAULTARMEDc26526"
"374","KIDNAPPING WITH SERIOUS BODILY INJURY, ARMED c265 §26",0,3,"KIDNAPPING WITH SERIOUS BODILY INJURY, ARMED","265","26","No","KIDNAPPINGWITHSERIOUSBODILYINJURYARMEDc26526"
"375","KIDNAPPING WITH SEXUAL ASSAULT, ARMED c. 265 s. 26",0,1,"KIDNAPPING WITH SEXUAL ASSAULT, ARMED","265","26","No","KIDNAPPINGWITHSEXUALASSAULTARMEDc265s26"
"376","KIDNAPPING MINOR BY RELATIVE c265 §26A",3,23,"KIDNAPPING MINOR BY RELATIVE","265","26A","No","KIDNAPPINGMINORBYRELATIVEc26526A"
"377","KIDNAPPING MINOR BY RELATIVE c265 §26A",3,23,"KIDNAPPING MINOR BY RELATIVE","265","26A","Yes","KIDNAPPINGMINORBYRELATIVEc26526A"
"378","KIDNAPPING & ENDANGER MINOR BY RELATIVE c265 §26A",1,4,"KIDNAPPING & ENDANGER MINOR BY RELATIVE","265","26A","No","KIDNAPPINGENDANGERMINORBYRELATIVEc26526A"
"379","KIDNAPPING & ENDANGER MINOR BY RELATIVE c265 §26A",1,4,"KIDNAPPING & ENDANGER MINOR BY RELATIVE","265","26A","Yes","KIDNAPPINGENDANGERMINORBYRELATIVEc26526A"
"380","KIDNAPPING PERSON IN CUSTODY c265 §26A",0,1,"KIDNAPPING PERSON IN CUSTODY","265","26A","No","KIDNAPPINGPERSONINCUSTODYc26526A"
"381","KIDNAPPING PERSON IN CUSTODY c265 §26A",0,1,"KIDNAPPING PERSON IN CUSTODY","265","26A","Yes","KIDNAPPINGPERSONINCUSTODYc26526A"
"382","DRUG TO CONFINE c265 §26B",0,1,"DRUG TO CONFINE","265","26B","No","DRUGTOCONFINEc26526B"
"383","POISONING, ATTEMPTED c265 §28",0,4,"POISONING, ATTEMPTED","265","28","No","POISONINGATTEMPTEDc26528"
"384","ASSAULT TO COMMIT FELONY c265 §29",2,7,"ASSAULT TO COMMIT FELONY","265","29","No","ASSAULTTOCOMMITFELONYc26529"
"385","COMMON CARRIER'S GROSS NEGLIGENCE c265 §30",0,2,"COMMON CARRIER'S GROSS NEGLIGENCE","265","30","Yes","COMMONCARRIERSGROSSNEGLIGENCEc26530"
"386","GLASS, THROW ON PUBLIC WAY c265 §32",1,9,"GLASS, THROW ON PUBLIC WAY","265","32","Yes","GLASSTHROWONPUBLICWAYc26532"
"387","PUBLIC WAY, THROW OBJECT ON c265 §35",2,2,"PUBLIC WAY, THROW OBJECT ON","265","35","Yes","PUBLICWAYTHROWOBJECTONc26535"
"388","CIVIL RIGHTS VIOLATION c265 §37",12,194,"CIVIL RIGHTS VIOLATION","265","37","Yes","CIVILRIGHTSVIOLATIONc26537"
"389","CIVIL RIGHTS VIOLATION c265 §37",12,194,"CIVIL RIGHTS VIOLATION","265","37","No","CIVILRIGHTSVIOLATIONc26537"
"390","CIVIL RIGHTS VIOLATION WITH INJURY c265 §37",0,35,"CIVIL RIGHTS VIOLATION WITH INJURY","265","37","Yes","CIVILRIGHTSVIOLATIONWITHINJURYc26537"
"391","CIVIL RIGHTS VIOLATION WITH INJURY c265 §37",0,35,"CIVIL RIGHTS VIOLATION WITH INJURY","265","37","No","CIVILRIGHTSVIOLATIONWITHINJURYc26537"
"392","CIVIL RIGHTS VIOLATION WITH INJURY, ATT c265 §37",0,1,"CIVIL RIGHTS VIOLATION WITH INJURY, ATT","265","37","Yes","CIVILRIGHTSVIOLATIONWITHINJURYATTc26537"
"393","CIVIL RIGHTS VIOLATION WITH INJURY, ATT c265 §37",0,1,"CIVIL RIGHTS VIOLATION WITH INJURY, ATT","265","37","No","CIVILRIGHTSVIOLATIONWITHINJURYATTc26537"
"394","ASSAULT TO INTIMIDATE c265 §39(a)",12,36,"ASSAULT TO INTIMIDATE","265","39(a)","Yes","ASSAULTTOINTIMIDATEc26539a"
"395","A&B TO INTIMIDATE c265 §39(a)",5,42,"A&B TO INTIMIDATE","265","39(a)","Yes","ABTOINTIMIDATEc26539a"
"396","PROPERTY DAMAGE TO INTIMIDATE c265 §39(a)",1,5,"PROPERTY DAMAGE TO INTIMIDATE","265","39(a)","Yes","PROPERTYDAMAGETOINTIMIDATEc26539a"
"397","A&B TO INTIMIDATE, WITH BODILY INJURY c265 §39(b)",0,15,"A&B TO INTIMIDATE, WITH BODILY INJURY","265","39(b)","No","ABTOINTIMIDATEWITHBODILYINJURYc26539b"
"398","A&B TO INTIMIDATE, WITH BODILY INJURY, ARMED c265 §39(b)",0,2,"A&B TO INTIMIDATE, WITH BODILY INJURY, ARMED","265","39(b)","No","ABTOINTIMIDATEWITHBODILYINJURYARMEDc26539b"
"399","STALKING c265 §43(a)",8,147,"STALKING","265","43(a)","No","STALKINGc26543a"
"400","STALKING IN VIOL OF RESTRAINING ORDER c265 §43(b)",14,47,"STALKING IN VIOL OF RESTRAINING ORDER","265","43(b)","No","STALKINGINVIOLOFRESTRAININGORDERc26543b"
"401","STALKING IN VIOL OF RESTRAINING ORDER,2D c265 §43(c)",1,0,"STALKING IN VIOL OF RESTRAINING ORDER,2D","265","43(c)","No","STALKINGINVIOLOFRESTRAININGORDER2Dc26543c"
"402","HARASSMENT, CRIMINAL c265 §43A(a)",80,441,"HARASSMENT, CRIMINAL","265","43A(a)","No","HARASSMENTCRIMINALc26543Aa"
"403","HARASSMENT, CRIMINAL, SUBSQ.OFF.  c265 §43A(b)",7,0,"HARASSMENT, CRIMINAL, SUBSQ.OFF. ","265","43A(b)","No","HARASSMENTCRIMINALSUBSQOFFc26543Ab"
"404","HARASSMENT, CRIMINAL, SUBSQ.OFF. c265 §43A(b)",0,5,"HARASSMENT, CRIMINAL, SUBSQ.OFF.","265","43A(b)","No","HARASSMENTCRIMINALSUBSQOFFc26543Ab"
"405","TRAFFICKING PERSONS FOR SEXUAL SERVITUDE c. 265 s. 50",0,126,"TRAFFICKING PERSONS FOR SEXUAL SERVITUDE","265","50","No","TRAFFICKINGPERSONSFORSEXUALSERVITUDEc265s50"
"406","TRAFFICKING OF PERSON FOR SEXUAL SERVITUDE c265 §50(a)",19,0,"TRAFFICKING OF PERSON FOR SEXUAL SERVITUDE","265","50(a)","No","TRAFFICKINGOFPERSONFORSEXUALSERVITUDEc26550a"
"407","Agg Assault & Battery Causing Serious Bodily Injury c265,s13A(b)(i)",6,0,"AGG ASSAULT & BATTERY CAUSING SERIOUS BODILY INJURY","265,","13A(b)(i)","No","AggAssaultBatteryCausingSeriousBodilyInjuryc265s13Abi"
"408","Assault in Violation of Restraining Order,  c265,s13A(b)(iii)",1,0,"ASSAULT IN VIOLATION OF RESTRAINING ORDER, ","265,","13A(b)(iii)","","AssaultinViolationofRestrainingOrderc265s13Abiii"
"409","Wantonly or Recklessly Permitting A&B on Child under 14 Causing Bodily Injury, c265,s13J(c)",2,0,"WANTONLY OR RECKLESSLY PERMITTING A&B ON CHILD UNDER 14 CAUSING BODILY INJURY,","265,","13J(c)","No","WantonlyorRecklesslyPermittingABonChildunder14CausingBodilyInjuryc265s13Jc"
"410","Agg ABDW, c265,s15A(c)(i)",15,0,"AGG ABDW,","265,","15A(c)(i)","No","AggABDWc265s15Aci"
"411","Aggravated ABDW, c265,s15A(c)(iv)",4,0,"AGGRAVATED ABDW,","265,","15A(c)(iv)","No","AggravatedABDWc265s15Aciv"
"412","Rape, c265,s22(b)",1,0,"RAPE,","265,","22(b)","No","Rapec265s22b"
"413","Rape & Abuse Child, c265,s23",1,0,"RAPE & ABUSE CHILD,","265,","23","No","RapeAbuseChildc265s23"
"414","Aggravated Rape of Child, c265,s23A",1,0,"AGGRAVATED RAPE OF CHILD,","265,","23A","No","AggravatedRapeofChildc265s23A"
"415","ASSAULT AND BATTER ON ELDER/DISABLED CARETAKER c265,13K(d 1/2)",2,0,"ASSAULT AND BATTER ON ELDER/DISABLED CARETAKER","265,13K(d","2)","No","ASSAULTANDBATTERONELDERDISABLEDCARETAKERc26513Kd12"
"416","ARSON OF DWELLING HOUSE c266 §1",28,59,"ARSON OF DWELLING HOUSE","266","1","Yes","ARSONOFDWELLINGHOUSEc2661"
"417","BURN BUILDING TO DEFRAUD INSURER c266 §10",0,4,"BURN BUILDING TO DEFRAUD INSURER","266","10","Yes","BURNBUILDINGTODEFRAUDINSURERc26610"
"418","BURN BUILDING TO DEFRAUD INSURER, ATT c266 §10",0,1,"BURN BUILDING TO DEFRAUD INSURER, ATT","266","10","Yes","BURNBUILDINGTODEFRAUDINSURERATTc26610"
"419","BURN MV TO DEFRAUD INSURER c266 §10",0,1,"BURN MV TO DEFRAUD INSURER","266","10","Yes","BURNMVTODEFRAUDINSURERc26610"
"420","BURN PERSONALTY TO DEFRAUD INSURER, ATT c266 §10",0,1,"BURN PERSONALTY TO DEFRAUD INSURER, ATT","266","10","Yes","BURNPERSONALTYTODEFRAUDINSURERATTc26610"
"421","EXPLOSION, MALICIOUS c266 §101",0,1,"EXPLOSION, MALICIOUS","266","101","Yes","EXPLOSIONMALICIOUSc266101"
"422","EXPLOSIVES, POSSESS TO INJURE c266 §102",1,10,"EXPLOSIVES, POSSESS TO INJURE","266","102","Yes","EXPLOSIVESPOSSESSTOINJUREc266102"
"423","EXPLOSIVES, THROW/PLACE/EXPLODE c266 §102",0,6,"EXPLOSIVES, THROW/PLACE/EXPLODE","266","102","Yes","EXPLOSIVESTHROWPLACEEXPLODEc266102"
"424","EXPLOSIVES, THROW/PLACE/EXPLODE c266 §102A",25,0,"EXPLOSIVES, THROW/PLACE/EXPLODE","266","102A","Yes","EXPLOSIVESTHROWPLACEEXPLODEc266102A"
"425","INFERNAL MACHINE, POSSESS c266 §102A",1,4,"INFERNAL MACHINE, POSSESS","266","102A","Yes","INFERNALMACHINEPOSSESSc266102A"
"426","UNLAWFUL EXPLOSION OF A DESTRUCTIVE OR INCENDIARY DEVICE c266 §102B",9,0,"UNLAWFUL EXPLOSION OF A DESTRUCTIVE OR INCENDIARY DEVICE","266","102B","Yes","UNLAWFULEXPLOSIONOFADESTRUCTIVEORINCENDIARYDEVICEc266102B"
"427","MOLOTOV COCKTAIL, MAKE/SELL/USE/POSSESS c266 §102B",1,3,"MOLOTOV COCKTAIL, MAKE/SELL/USE/POSSESS","266","102B","Yes","MOLOTOVCOCKTAILMAKESELLUSEPOSSESSc266102B"
"428","NOXIOUS/FILTHY SUBSTANCE, VANDALIZE WITH c266 §103",16,11,"NOXIOUS/FILTHY SUBSTANCE, VANDALIZE WITH","266","103","Yes","NOXIOUSFILTHYSUBSTANCEVANDALIZEWITHc266103"
"429","BUILDING, VANDALIZE c266 §104",4,6,"BUILDING, VANDALIZE","266","104","Yes","BUILDINGVANDALIZEc266104"
"430","BRIDGE, INJURE c266 §107",0,1,"BRIDGE, INJURE","266","107","Yes","BRIDGEINJUREc266107"
"431","FIRE ALARM, DISABLE c266 §11",0,5,"FIRE ALARM, DISABLE","266","11","Yes","FIREALARMDISABLEc26611"
"432","INSURANCE CLAIM, PRESENT FALSE c266 §111A",3,23,"INSURANCE CLAIM, PRESENT FALSE","266","111A","Yes","INSURANCECLAIMPRESENTFALSEc266111A"
"433","INSURANCE CLAIM, PREPARE FALSE c266 §111A",1,13,"INSURANCE CLAIM, PREPARE FALSE","266","111A","Yes","INSURANCECLAIMPREPAREFALSEc266111A"
"434","INSURANCE CLAIM, FALSE MOTOR VEH c266 §111B",143,229,"INSURANCE CLAIM, FALSE MOTOR VEH","266","111B","Yes","INSURANCECLAIMFALSEMOTORVEHc266111B"
"435","INSURANCE CLAIM, FALSE MOTOR VEH c. 266 s. 111B",0,2,"INSURANCE CLAIM, FALSE MOTOR VEH","266","111B","Yes","INSURANCECLAIMFALSEMOTORVEHc266s111B"
"436","ANIMAL, KILL/MAIM/POISON c266 §112",2,12,"ANIMAL, KILL/MAIM/POISON","266","112","Yes","ANIMALKILLMAIMPOISONc266112"
"437","PLANT MATERIAL, TAKE c266 §113",1,0,"PLANT MATERIAL, TAKE","266","113","Yes","PLANTMATERIALTAKEc266113"
"438","TREES, CUT/DESTROY c266 §113",0,2,"TREES, CUT/DESTROY","266","113","Yes","TREESCUTDESTROYc266113"
"439","GLASS IN BUILDING, BREAK c266 §114",0,7,"GLASS IN BUILDING, BREAK","266","114","Yes","GLASSINBUILDINGBREAKc266114"
"440","FENCE, VANDALIZE c266 §114",0,3,"FENCE, VANDALIZE","266","114","Yes","FENCEVANDALIZEc266114"
"441","GARDEN/ORCHARD/NURSERY/BOG, LARCENY FROM c266 §115",1,1,"GARDEN/ORCHARD/NURSERY/BOG, LARCENY FROM","266","115","Yes","GARDENORCHARDNURSERYBOGLARCENYFROMc266115"
"442","TRESPASS c266 §120",637,8956,"TRESPASS","266","120","Yes","TRESPASSc266120"
"443","TRESPASS c. 266 s. 120",0,9,"TRESPASS","266","120","Yes","TRESPASSc266s120"
"444","MOTOR VEH, REMOVE IMPROPERLY c266 §120D",1,0,"MOTOR VEH, REMOVE IMPROPERLY","266","120D","Yes","MOTORVEHREMOVEIMPROPERLYc266120D"
"445","COMPUTER SYSTEM, UNAUTHORIZED ACCESS TO c266 §120F",3,8,"COMPUTER SYSTEM, UNAUTHORIZED ACCESS TO","266","120F","Yes","COMPUTERSYSTEMUNAUTHORIZEDACCESSTOc266120F"
"446","TRESPASS WITH FIREARM c266 §121",0,1,"TRESPASS WITH FIREARM","266","121","Yes","TRESPASSWITHFIREARMc266121"
"447","TRESPASS WITH MOTOR VEHICLE * c266 §121A",25,14,"TRESPASS WITH MOTOR VEHICLE *","266","121A","Yes","TRESPASSWITHMOTORVEHICLEc266121A"
"448","TRESPASS WITH NON-MV VEHICLE  c266 §121A",4,0,"TRESPASS WITH NON-MV VEHICLE ","266","121A","","TRESPASSWITHNONMVVEHICLEc266121A"
"449","TRESPASS WITH NON-MV VEHICLE c266 §121A",0,2,"TRESPASS WITH NON-MV VEHICLE","266","121A","Yes","TRESPASSWITHNONMVVEHICLEc266121A"
"450","TRESPASS NOTICE, VANDALIZE c266 §122",0,1,"TRESPASS NOTICE, VANDALIZE","266","122","Yes","TRESPASSNOTICEVANDALIZEc266122"
"451","TRESPASS ON STATE/COUNTY PROPERTY c266 §123",4,213,"TRESPASS ON STATE/COUNTY PROPERTY","266","123","Yes","TRESPASSONSTATECOUNTYPROPERTYc266123"
"452","DEFACE PROPERTY c266 §126",46,46,"DEFACE PROPERTY","266","126","Yes","DEFACEPROPERTYc266126"
"453","VANDALIZE PROPERTY c266 §126A",567,402,"VANDALIZE PROPERTY","266","126A","Yes","VANDALIZEPROPERTYc266126A"
"454","DEFACEMENT OF REAL OR PERSONAL PROPERTY c. 266 s. 126A",0,4,"DEFACEMENT OF REAL OR PERSONAL PROPERTY","266","126A","Yes","DEFACEMENTOFREALORPERSONALPROPERTYc266s126A"
"455","TAGGING PROPERTY c266 §126B",34,161,"TAGGING PROPERTY","266","126B","Yes","TAGGINGPROPERTYc266126B"
"456","TAGGING PROPERTY c. 266 s. 126B",0,1,"TAGGING PROPERTY","266","126B","Yes","TAGGINGPROPERTYc266s126B"
"457","DESTRUCTION OF PROPERTY +$250, MALICIOUS c266 §127",391,4431,"DESTRUCTION OF PROPERTY +$250, MALICIOUS","266","127","Yes","DESTRUCTIONOFPROPERTY250MALICIOUSc266127"
"458","DESTRUCTION OF PROPERTY -$250, MALICIOUS c266 §127",350,817,"DESTRUCTION OF PROPERTY -$250, MALICIOUS","266","127","Yes","DESTRUCTIONOFPROPERTY250MALICIOUSc266127"
"459","DESTRUCTION OF PROPERTY -$250, WANTON c266 §127",130,98,"DESTRUCTION OF PROPERTY -$250, WANTON","266","127","Yes","DESTRUCTIONOFPROPERTY250WANTONc266127"
"460","DESTRUCTION OF PROPERTY +$250, WANTON c266 §127",120,389,"DESTRUCTION OF PROPERTY +$250, WANTON","266","127","Yes","DESTRUCTIONOFPROPERTY250WANTONc266127"
"461","DESTRUCTION OF PROPERTY -$1200, MALICIOUS c266 §127",46,303,"DESTRUCTION OF PROPERTY -$1200, MALICIOUS","266","127","Yes","DESTRUCTIONOFPROPERTY1200MALICIOUSc266127"
"462","DESTRUCTION OF PROPERTY -$1200, WANTON c266 §127",10,37,"DESTRUCTION OF PROPERTY -$1200, WANTON","266","127","Yes","DESTRUCTIONOFPROPERTY1200WANTONc266127"
"463","DESTRUCTION OF PROPERTY +$1200, MALICIOUS - HABITUAL c266 §127",2,0,"DESTRUCTION OF PROPERTY +$1200, MALICIOUS - HABITUAL","266","127","Yes","DESTRUCTIONOFPROPERTY1200MALICIOUSHABITUALc266127"
"464","DESTRUCTION OF PROPERTY +$1200, MALICIOUS c266 §127",0,180,"DESTRUCTION OF PROPERTY +$1200, MALICIOUS","266","127","Yes","DESTRUCTIONOFPROPERTY1200MALICIOUSc266127"
"465","DESTRUCTION OF PROPERTY +$1200, WANTON c266 §127",0,17,"DESTRUCTION OF PROPERTY +$1200, WANTON","266","127","Yes","DESTRUCTIONOFPROPERTY1200WANTONc266127"
"466","DESTRUCTION OF PROPERTY +$250, WANTON c. 266 s. 127",0,1,"DESTRUCTION OF PROPERTY +$250, WANTON","266","127","Yes","DESTRUCTIONOFPROPERTY250WANTONc266s127"
"467","DESTRUCTION OF PROPERTY -$250, WANTON OR MALICIOUS c. 266 s. 127",0,1,"DESTRUCTION OF PROPERTY -$250, WANTON OR MALICIOUS","266","127","Yes","DESTRUCTIONOFPROPERTY250WANTONORMALICIOUSc266s127"
"468","CHURCH/SYNAGOGUE, INJURY OVER $5000 TO c266 §127A",8,5,"CHURCH/SYNAGOGUE, INJURY OVER $5000 TO","266","127A","Yes","CHURCHSYNAGOGUEINJURYOVER5000TOc266127A"
"469","CHURCH, THREAT TO INJURE c266 §127A",1,0,"CHURCH, THREAT TO INJURE","266","127A","Yes","CHURCHTHREATTOINJUREc266127A"
"470","CHURCH/SYNAGOGUE, INJURY UNDER $5000 TO c266 §127A",1,3,"CHURCH/SYNAGOGUE, INJURY UNDER $5000 TO","266","127A","Yes","CHURCHSYNAGOGUEINJURYUNDER5000TOc266127A"
"471","PRISONER VANDALIZE PRISON PROPERTY c266 §129",0,15,"PRISONER VANDALIZE PRISON PROPERTY","266","129","Yes","PRISONERVANDALIZEPRISONPROPERTYc266129"
