"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"403","DRUG, OBTAIN BY FRAUD, SUBSQ.OFF. c94C §33(c)",0,8,"DRUG, OBTAIN BY FRAUD, SUBSQ.OFF.","94C","33(c)","Yes",0,0,NA
"404","DRUG, POSSESS CLASS B c94C §34",1081,5770,"DRUG, POSSESS CLASS B","94C","34","Yes",0,0,NA
"405","DRUG, POSSESS CLASS A c94C §34",935,2987,"DRUG, POSSESS CLASS A","94C","34","Yes",0,0,NA
"406","DRUG, POSSESS CLASS E c94C §34",458,1894,"DRUG, POSSESS CLASS E","94C","34","Yes",0,0,NA
"407","DRUG, POSSESS CLASS C c94C §34",220,1148,"DRUG, POSSESS CLASS C","94C","34","Yes",0,0,NA
"408","DRUG, POSSESS CLASS B, SUBSQ.OFF. c94C §34",185,834,"DRUG, POSSESS CLASS B, SUBSQ.OFF.","94C","34","Yes",0,0,NA
"409","DRUG, POSSESS CLASS A, SUBSQ.OFF. c94C §34",151,285,"DRUG, POSSESS CLASS A, SUBSQ.OFF.","94C","34","Yes",0,0,NA
"410","DRUG, POSSESS CLASS D c94C §34",63,299,"DRUG, POSSESS CLASS D","94C","34","Yes",0,0,NA
"411","HEROIN, POSSESS c94C §34",61,84,"HEROIN, POSSESS","94C","34","Yes",0,0,NA
"412","HEROIN, POSSESS, SUBSQ.OFF. c94C §34",9,10,"HEROIN, POSSESS, SUBSQ.OFF.","94C","34","Yes",0,0,NA
"413","DRUG, POSSESS CLASS C, SUBSQ.OFF. c94C §34",9,26,"DRUG, POSSESS CLASS C, SUBSQ.OFF.","94C","34","Yes",0,0,NA
"414","MARIHUANA, POSSESS c94C §34",8,28,"MARIHUANA, POSSESS","94C","34","Yes",0,0,NA
"415","DRUG, POSSESS CLASS D, SUBSQ.OFF. c94C §34",5,16,"DRUG, POSSESS CLASS D, SUBSQ.OFF.","94C","34","Yes",0,0,NA
"416","MARIJUANA +12 MARIJUANA PLANTS, POSSESS c94C §34",2,0,"MARIJUANA +12 MARIJUANA PLANTS, POSSESS","94C","34","Yes",0,0,NA
"417","POSSESS CLASS B SUBSTANCE, HABITUAL c94C §34",1,0,"POSSESS CLASS B SUBSTANCE, HABITUAL","94C","34","Yes",0,0,NA
"418","POSSESS CLASS A SUBSTANCE, HABITUAL c94C §34",1,0,"POSSESS CLASS A SUBSTANCE, HABITUAL","94C","34","Yes",0,0,NA
"419","DRUG, POSSESS CLASS B c. 94C s. 34",0,5,"DRUG, POSSESS CLASS B","94C","34","Yes",0,0,NA
"420","DRUG, POSSESS CLASS A c. 94C s. 34",0,3,"DRUG, POSSESS CLASS A","94C","34","Yes",0,0,NA
"421","MARIJUANA, POSSESS c. 94C s. 34",0,2,"MARIJUANA, POSSESS","94C","34","Yes",0,0,NA
"422","DRUG, POSSESS CLASS E c. 94C s. 34",0,2,"DRUG, POSSESS CLASS E","94C","34","Yes",0,0,NA
"423","DRUG, POSSESS CLASS C c. 94C s. 34",0,2,"DRUG, POSSESS CLASS C","94C","34","Yes",0,0,NA
"424","DRUG, POSSESS CLASS E, SUBSQ.OFF. c94C §34",0,1,"DRUG, POSSESS CLASS E, SUBSQ.OFF.","94C","34","Yes",0,0,NA
"425","DRUG, POSSESS CLASS D c. 94C s. 34",0,1,"DRUG, POSSESS CLASS D","94C","34","Yes",0,0,NA
"426","HEROIN, BEING PRESENT WHERE KEPT c94C §35",137,394,"HEROIN, BEING PRESENT WHERE KEPT","94C","35","Yes",0,0,NA
"427","HEROIN, BEING PRESENT WHERE KEPT c. 94C s. 35",0,1,"HEROIN, BEING PRESENT WHERE KEPT","94C","35","Yes",0,0,NA
"428","DRUG, LARCENY OF c94C §37",38,45,"DRUG, LARCENY OF","94C","37","Yes",0,0,NA
"429","CONSPIRACY TO VIOLATE DRUG LAW c94C §40",581,1988,"CONSPIRACY TO VIOLATE DRUG LAW","94C","40","Yes",0,0,NA
"430","CONSPIRACY TO VIOLATE DRUG LAW, HABITUAL c94C §40",3,0,"CONSPIRACY TO VIOLATE DRUG LAW, HABITUAL","94C","40","Yes",0,0,NA
"431","CONSPIRACY TO VIOLATE DRUG LAW c. 94C s. 40",0,14,"CONSPIRACY TO VIOLATE DRUG LAW","94C","40","Yes",0,0,NA
"432","DRUG, DISPENSE W/O PRESCRIPTION c94C §25(1)",3,0,"DRUG, DISPENSE W/O PRESCRIPTION","94C","25(1)","Yes",0,0,NA
"433","DRUG LABEL, REMOVE/ALTER c94C §25(4)",1,5,"DRUG LABEL, REMOVE/ALTER","94C","25(4)","Yes",0,0,NA
"434","CIGARETTES, SELL SINGLE UNPACKAGED c94 §307A",0,1,"CIGARETTES, SELL SINGLE UNPACKAGED","94","307A","Yes",0,0,NA
"435","COCAINE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(b)(1)",0,41,"COCAINE, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(b)(1)","Yes",0,0,NA
"436","HEROIN/MORPHINE/OPIUM 18-36 GRAMS, TRAFFICKING IN c94C §32E(c)(1)",8,0,"HEROIN/MORPHINE/OPIUM 18-36 GRAMS, TRAFFICKING IN","94C","32E(c)(1)","Yes",0,0,NA
"437","HEROIN, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,41,"HEROIN, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(c)(1)","Yes",0,0,NA
"438","OXYCODONE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,10,"OXYCODONE, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(c)(1)","Yes",0,0,NA
"439","Trafficking Heroin (18-36g), c94C,s32E(c)(1)",32,0,"TRAFFICKING HEROIN (18-36G),","94C,","32E(c)(1)","Yes",0,0,NA
"440","COCAINE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(b)(2)",0,201,"COCAINE, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(b)(2)","Yes",0,0,NA
"441","HEROIN/MORPHINE/OPIUM 36 GRAMS-100 GRAMS, TRAFFICKING IN c94C §32E(c)(2)",29,0,"HEROIN/MORPHINE/OPIUM 36 GRAMS-100 GRAMS, TRAFFICKING IN","94C","32E(c)(2)","Yes",0,0,NA
"442","HEROIN, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,157,"HEROIN, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(c)(2)","Yes",0,0,NA
"443","OXYCODONE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,44,"OXYCODONE, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(c)(2)","Yes",0,0,NA
"444","Trafficking Cocaine (36-100g), c94C,s32E(b)(2)",2,0,"TRAFFICKING COCAINE (36-100G),","94C,","32E(b)(2)","Yes",0,0,NA
"445","Trafficking Heroin (36-100g), c94C,s32E(c)(2)",16,0,"TRAFFICKING HEROIN (36-100G),","94C,","32E(c)(2)","Yes",0,0,NA
"446","Trafficking Heroin (36-100g), c94C,s32E(c)(2)-HABITUAL",1,0,"TRAFFICKING HEROIN (36-100G),","94C,","32E(c)(2)-HABITUAL","Yes",0,0,NA
"447","COCAINE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(b)(3)",0,83,"COCAINE, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(b)(3)","Yes",0,0,NA
"448","OXYCODONE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,148,"OXYCODONE, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(c)(3)","Yes",0,0,NA
"449","HEROIN, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,91,"HEROIN, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(c)(3)","Yes",0,0,NA
"450","COCAINE, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(b)(4)",0,133,"COCAINE, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(b)(4)","Yes",0,0,NA
"451","HEROIN, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(c)(4)",0,124,"HEROIN, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(c)(4)","Yes",0,0,NA
"452","FENTANYL, TRAFFICKING IN MORE THAN 10 GRAMS c94C §32E(c1/2)",11,0,"FENTANYL, TRAFFICKING IN MORE THAN 10 GRAMS","94C","32E(c1/2)","Yes",0,0,NA
"453","HEROIN/MORPHINE/OPIUM, TRAFFICK IN c. 94C s. 32E(c)(4) - 200 or more g",0,1,"HEROIN/MORPHINE/OPIUM, TRAFFICK IN","94C","32E(c)(4) - 200 or more g","Yes",0,0,NA
"454","COCAINE, TRAFFICKING IN, OVER 18 GRAMS, LESS 36 c94C §32E(b)",0,22,"COCAINE, TRAFFICKING IN, OVER 18 GRAMS, LESS 36","94C","36 c94C §32E(b)","Yes",0,0,NA
"455","METHAMPHETAMINE, TRAFFICKING IN, 18 GRAMS OR MORE, LESS 36 c94C §32E(c)",0,2,"METHAMPHETAMINE, TRAFFICKING IN, 18 GRAMS OR MORE, LESS 36","94C","36 c94C §32E(c)","Yes",0,0,NA
"456","HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE LESS 36 C94c §32E(c)",0,2,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE LESS 36 C94C §32E(C)","94c","36 C94c §32E(c)","Yes",0,0,NA
"457","HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 36 GRAMS OR MORE LESS 100 C94c §32E(c)",0,18,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 36 GRAMS OR MORE LESS 100 C94C §32E(C)","94c","100 C94c §32E(c)","Yes",0,0,NA
"458","COCAINE (c.94C s. 31 Class B(a)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF. c. 94C s. 32A(d)",0,1,"COCAINE (C.94C S. 31 CLASS B(A)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF.","94C","31 Class B(a)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF. c. 94C s. 32A(d)","Yes",0,0,NA
"459","CONSUME MARIJUANA IN PUBLIC PLACE c94G",1,0,"CONSUME MARIJUANA IN PUBLIC PLACE","94G","","Yes",0,0,NA
"460","PEDDLING WITHOUT A LICENSE c101 §14",0,7,"PEDDLING WITHOUT A LICENSE","101","14","Yes",0,0,NA
"461","PEDDLING VIOLATION c101 §14",0,3,"PEDDLING VIOLATION","101","14","Yes",0,0,NA
"462","BOAT, TRESPASS ON c102 §1A",0,2,"BOAT, TRESPASS ON","102","1A","Yes",0,0,NA
"463","ALCOHOL DETOX PROG, UNLICENSED/DENY INSPECTION, SUBSQ c. 111B s. 6",0,1,"ALCOHOL DETOX PROG, UNLICENSED/DENY INSPECTION, SUBSQ","111B","6","Yes",0,0,NA
"464","AIR POLLUTION ORDER VIOL c111 §142A",1,0,"AIR POLLUTION ORDER VIOL","111","142A","Yes",0,0,NA
"465","INSPECTION CERTIFICATE, IMPROPER MV c111 §142M",0,2,"INSPECTION CERTIFICATE, IMPROPER MV","111","142M","Yes",0,0,NA
"466","TRASH TREATMENT FACILITY REGULATION VIOL c111 §150A",4,0,"TRASH TREATMENT FACILITY REGULATION VIOL","111","150A","Yes",0,0,NA
"467","PROFESSIONAL LIC SUSPENDED,PRACTICE WITH c112 §65",0,2,"PROFESSIONAL LIC SUSPENDED,PRACTICE WITH","112","65","Yes",0,0,NA
"468","NURSING, UNAUTH PRACTICE OF PRACTICAL c112 §80A",6,0,"NURSING, UNAUTH PRACTICE OF PRACTICAL","112","80A","Yes",0,0,NA
"469","FUNERAL DIRECTOR, UNLICENSED c112 §87",0,200,"FUNERAL DIRECTOR, UNLICENSED","112","87","Yes",0,0,NA
"470","BODY, IMPROPER DISPOSITION OF HUMAN c114  §43M",12,0,"BODY, IMPROPER DISPOSITION OF HUMAN","114","43M","",0,0,NA
"471","BODY, IMPROPER DISPOSITION OF HUMAN c114 §43M",0,15,"BODY, IMPROPER DISPOSITION OF HUMAN","114","43M","Yes",0,0,NA
"472","MEDICAL ASSISTANCE, FALSE STATEMENT FOR c118E §39",0,16,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR","118E","39","Yes",0,0,NA
"473","MEDICAL ASSISTANCE, FALSE STATEMENT FOR c. 118E s. 39",0,5,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR","118E","39","Yes",0,0,NA
"474","MEDICAL ASSISTANCE FRAUD BY PROVIDER c118E §40",0,2,"MEDICAL ASSISTANCE FRAUD BY PROVIDER","118E","40","Yes",0,0,NA
"475","CHILD UNDER 10, ABANDON c119 §39",2,4,"CHILD UNDER 10, ABANDON","119","39","Yes",0,0,NA
"476","CHILD ABUSE, FRIVOLOUS REPORT OF c119 §51A",1,0,"CHILD ABUSE, FRIVOLOUS REPORT OF","119","51A","Yes",0,0,NA
"477","CHILD ABUSE, MANDATED REPORTER FL REPORT c119 §51A",1,0,"CHILD ABUSE, MANDATED REPORTER FL REPORT","119","51A","Yes",0,0,NA
"478","CONTRIBUTE TO DELINQUENCY OF CHILD c119 §63",14,10,"CONTRIBUTE TO DELINQUENCY OF CHILD","119","63","Yes",0,0,NA
"479","Sexually Dangerous Person, c123A",2,0,"SEXUALLY DANGEROUS PERSON,","123A","","No",1,0,NA
"480","SEXUALLY DANGEROUS PERSON c123A",0,3,"SEXUALLY DANGEROUS PERSON","123A","","No",1,0,NA
"481","ESCAPE FROM COUNTY PRISON FARM, ATTEMPT c126 §37",0,1,"ESCAPE FROM COUNTY PRISON FARM, ATTEMPT","126","37","Yes",0,0,NA
"482","A&B ON CORRECTIONAL OFFICER c127 §38B",25,117,"A&B ON CORRECTIONAL OFFICER","127","38B","Yes",0,0,NA
"483","A&B WITH BODILY SUBSTANCE ON CORRECTIONAL OFFICER c127 §38B(c)",4,0,"A&B WITH BODILY SUBSTANCE ON CORRECTIONAL OFFICER","127","38B(c)","Yes",0,0,NA
"484","RACING PARIMUTUEL TICKET, FALSE c128A §10B",0,1,"RACING PARIMUTUEL TICKET, FALSE","128A","10B","Yes",0,0,NA
"485","FISH, THROW OVERBOARD UPON INSPECTION c130 §13",0,4,"FISH, THROW OVERBOARD UPON INSPECTION","130","13","Yes",0,0,NA
"486","LOBSTER/CRAB/FISH POT/CATCH, TAKE/INJURE c130 §31",0,1,"LOBSTER/CRAB/FISH POT/CATCH, TAKE/INJURE","130","31","Yes",0,0,NA
"487","LOBSTER/CRAB VIOLATION c130 §38A",0,2,"LOBSTER/CRAB VIOLATION","130","38A","Yes",0,0,NA
"488","LOBSTER, TAKE EGG-BEARING c130 §41",0,1,"LOBSTER, TAKE EGG-BEARING","130","41","Yes",0,0,NA
"489","LOBSTER, SHORT c130 §44",0,2,"LOBSTER, SHORT","130","44","Yes",0,0,NA
"490","LOBSTER CONTAINER IMPROP MARKED c130 §47",0,1,"LOBSTER CONTAINER IMPROP MARKED","130","47","Yes",0,0,NA
"491","SHELLFISH IN CONTAMINATED AREA AT NIGHT c130 §75",0,1,"SHELLFISH IN CONTAMINATED AREA AT NIGHT","130","75","Yes",0,0,NA
"492","FISHING, COMMERCIAL LICENSE VIOL c130 §80",0,3,"FISHING, COMMERCIAL LICENSE VIOL","130","80","Yes",0,0,NA
"493","SCALLOPS SALES VIOLATION c130 §92",0,1,"SCALLOPS SALES VIOLATION","130","92","Yes",0,0,NA
"494","STRIPED BASS TAKEN NOT BY ANGLING c130 §100B",0,2,"STRIPED BASS TAKEN NOT BY ANGLING","130","100B","Yes",0,0,NA
"495","LOBSTER/CRAB WITHOUT LICENSE c130 §37 & §38",0,1,"LOBSTER/CRAB WITHOUT LICENSE","130","37 & §38","Yes",0,0,NA
"496","HUNT/FISH IN CLOSED SEASON c131 §5",6,0,"HUNT/FISH IN CLOSED SEASON","131","5","Yes",0,0,NA
"497","HUNT/FISH WITHOUT LICENSE c131 §11",7,1,"HUNT/FISH WITHOUT LICENSE","131","11","Yes",0,0,NA
"498","FISH/WILD ANIMAL, DEAL WITHOUT LIC c131 §23",0,1,"FISH/WILD ANIMAL, DEAL WITHOUT LIC","131","23","Yes",0,0,NA
"499","ANIMAL QUARANTINE VIOLATION c131 §25C",0,1,"ANIMAL QUARANTINE VIOLATION","131","25C","Yes",0,0,NA
"500","LICENSE UNDER c.131, ALTER/FORGE c131 §33",0,2,"LICENSE UNDER","131","33","Yes",0,0,NA
"501","WETLANDS VIOLATION, COASTAL/TIDAL c131 §40",10,0,"WETLANDS VIOLATION, COASTAL/TIDAL","131","40","Yes",0,0,NA
"502","FIREARM WITHIN 500 FT OF DWELLING c131 §58",7,42,"FIREARM WITHIN 500 FT OF DWELLING","131","58","Yes",0,0,NA
"503","FIREARM, DISCHARGE NEAR HWAY c131 §58",3,1,"FIREARM, DISCHARGE NEAR HWAY","131","58","Yes",0,0,NA
"504","HUNTING INJURY, FAIL REPORT c131 §60",1,0,"HUNTING INJURY, FAIL REPORT","131","60","Yes",0,0,NA
"505","HUNTING WEAPON, PERSONAL INJURY WITH c131 §60",1,0,"HUNTING WEAPON, PERSONAL INJURY WITH","131","60","Yes",0,0,NA
"506","SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED c131 §63",2,1,"SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED","131","63","Yes",0,0,NA
"507","SHOTGUN SHELLS IN CLOSED SEASON c131 §66",1,0,"SHOTGUN SHELLS IN CLOSED SEASON","131","66","Yes",0,0,NA
"508","HUNT BY ARTIFICIAL LIGHT c131 §68",3,0,"HUNT BY ARTIFICIAL LIGHT","131","68","Yes",0,0,NA
"509","DEER TAGGING VIOLATION c131 §72",1,1,"DEER TAGGING VIOLATION","131","72","Yes",0,0,NA
"510","TURKEY, HUNT/POSSESS WILD c131 §75",1,0,"TURKEY, HUNT/POSSESS WILD","131","75","Yes",0,0,NA
"511","TRAP, UNLAWFUL c131 §80A",1,0,"TRAP, UNLAWFUL","131","80A","Yes",0,0,NA
"512","ANIMAL, IMPORT/EXPORT IMPROP c131 §85",2,0,"ANIMAL, IMPORT/EXPORT IMPROP","131","85","Yes",0,0,NA
"513","TRANSPORTATION OF UNLAWFULLY TAKEN FISH/ANIMALS INTO OR OUT OF THE COMMONWEALTH c. 131 s. 85",0,2,"TRANSPORTATION OF UNLAWFULLY TAKEN FISH/ANIMALS INTO OR OUT OF THE COMMONWEALTH","131","85","Yes",0,0,NA
"514","FOREST CUTTING, UNLICENSED COMMERCIAL c132 §46",1,0,"FOREST CUTTING, UNLICENSED COMMERCIAL","132","46","Yes",0,0,NA
"515","DRINKING IN PUBLIC c. 138 s. 1",0,227,"DRINKING IN PUBLIC","138","1","Yes",0,0,NA
"516","LIQUOR, SELL/MAKE/STORE/TRANSPORT UNLAW c138 §2",0,11,"LIQUOR, SELL/MAKE/STORE/TRANSPORT UNLAW","138","2","Yes",0,0,NA
"517","LIQUOR, TRANSPORT UNLAWFULLY c138 §22",4,1,"LIQUOR, TRANSPORT UNLAWFULLY","138","22","Yes",0,0,NA
"518","LIQUOR, TRANSPORT UNLAWFULLY c. 138 s. 22",0,1,"LIQUOR, TRANSPORT UNLAWFULLY","138","22","Yes",0,0,NA
"519","LIQUOR TO PERSON UNDER 21, SELL/DELIVER c138 §34",48,40,"LIQUOR TO PERSON UNDER 21, SELL/DELIVER","138","34","Yes",0,0,NA
"520","LIQUOR, PERSON UNDER 21 PROCURE c138 §34A",15,36,"LIQUOR, PERSON UNDER 21 PROCURE","138","34A","Yes",0,0,NA
"521","LIQUOR, ASSIST PERSON UNDER 21 PURCHASE c138 §34A",9,7,"LIQUOR, ASSIST PERSON UNDER 21 PURCHASE","138","34A","Yes",0,0,NA
"522","LIQUOR ID CARD/LICENSE, FALSE/MISUSE c138 §34B",29,30,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE","138","34B","Yes",0,0,NA
"523","LIQUOR LICENSING AUTH, REFUSE ID SELF TO c138 §34B",0,6,"LIQUOR LICENSING AUTH, REFUSE ID SELF TO","138","34B","Yes",0,0,NA
"524","LIQUOR ID CARD/LICENSE, FALSE/MISUSE c. 138 s. 34B",0,1,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE","138","34B","Yes",0,0,NA
"525","LIQUOR, PERSON UNDER 21 POSSESS c138 §34C",666,290,"LIQUOR, PERSON UNDER 21 POSSESS","138","34C","Yes",0,0,NA
"526","LIQUOR CLUB, UNLICENSED c138 §61",0,2,"LIQUOR CLUB, UNLICENSED","138","61","Yes",0,0,NA
"527","LIQUOR VIOLATION c138 §62",0,28,"LIQUOR VIOLATION","138","62","Yes",0,0,NA
"528","LIQUOR INSPECTOR, OBSTRUCT c138 §63A",0,1,"LIQUOR INSPECTOR, OBSTRUCT","138","63A","Yes",0,0,NA
"529","NUISANCE, AID/PERMIT c139 §20",0,3,"NUISANCE, AID/PERMIT","139","20","Yes",0,0,NA
"530","PROSTITUTION NUISANCE, MAINTAIN c139 §4-§5",0,1,"PROSTITUTION NUISANCE, MAINTAIN","139","4-§5","Yes",0,0,NA
"531","GAMBLING NUISANCE, MAINTAIN c139 §14-§15",0,3,"GAMBLING NUISANCE, MAINTAIN","139","14-§15","Yes",0,0,NA
"532","INNKEEPER, DEFRAUD, OVER $100 c140 §12",7,29,"INNKEEPER, DEFRAUD, OVER $100","140","12","Yes",0,0,NA
"533","INNKEEPER, DEFRAUD, UNDER $100 c140 §12",3,30,"INNKEEPER, DEFRAUD, UNDER $100","140","12","Yes",0,0,NA
"534","RESTAURANT, DEFRAUD c140 §12",2,29,"RESTAURANT, DEFRAUD","140","12","Yes",0,0,NA
"535","INNKEEPER, DEFRAUD, UNDER $100 c. 140 s. 12",0,1,"INNKEEPER, DEFRAUD, UNDER $100","140","12","Yes",0,0,NA
"536","LODGING HOUSE, UNLICENSED c140 §24",0,1,"LODGING HOUSE, UNLICENSED","140","24","Yes",0,0,NA
"537","HOTEL REGISTER, FAIL KEEP c140 §27",0,4,"HOTEL REGISTER, FAIL KEEP","140","27","Yes",0,0,NA
"538","UNAUTHORIZED USE OF CREDIT CARDS c. 140D s. 27",0,48,"UNAUTHORIZED USE OF CREDIT CARDS","140D","27","Yes",0,0,NA
"539","CONSUMER CREDIT COST DISCLOSURE VIOL c140D §31",0,7,"CONSUMER CREDIT COST DISCLOSURE VIOL","140D","31","Yes",0,0,NA
"540","SMALL LOANS, UNLICENSED c140 §110",0,1,"SMALL LOANS, UNLICENSED","140","110","Yes",0,0,NA
"541","AMMUNITION, UNLICENSED SALE OF c140 §122B",0,19,"AMMUNITION, UNLICENSED SALE OF","140","122B","No",0,0,NA
"542","SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER c140 §122D",1,0,"SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER","140","122D","No",0,0,NA
"543","SELF DEFENSE SPRAY, POSS BY FELON/YO c. 140 §122D/A",0,2,"SELF DEFENSE SPRAY, POSS BY FELON/YO","140","122D/A","No",0,0,NA
"544","FIREARM SALE, IMPROPER c140 §128",1,2,"FIREARM SALE, IMPROPER","140","128","No",0,0,NA
"545","FIREARM SALE, UNLICENSED c140 §128",0,9,"FIREARM SALE, UNLICENSED","140","128","No",0,0,NA
"546","FIREARM, FAIL REPORT UNAUTHORIZED c140 §128B",3,0,"FIREARM, FAIL REPORT UNAUTHORIZED","140","128B","No",0,0,NA
"547","FIREARM TRANSFER/LOSS, OWNER FL REPORT c140 §129C",3,1,"FIREARM TRANSFER/LOSS, OWNER FL REPORT","140","129C","No",0,0,NA
"548","FIREARM LICENSE RESTRICTION VIOL c140 §131(a) or (b)",1,19,"FIREARM LICENSE RESTRICTION VIOL","140","131(a) or (b)","No",0,0,NA
"549","FIREARM LICENSE, IMPROP ISSUE c140 §131(k)",0,3,"FIREARM LICENSE, IMPROP ISSUE","140","131(k)","No",0,0,NA
"550","FIREARM IN VEHICLE, LEAVE c140 §131C",6,11,"FIREARM IN VEHICLE, LEAVE","140","131C","No",0,0,NA
"551","RIFLE/SHOTGUN IN VEH, LEAVE LARGE CAPACITY c140 §131C(c)",0,3,"RIFLE/SHOTGUN IN VEH, LEAVE LARGE CAPACITY","140","131C(c)","No",0,0,NA
"552","FIREARM, ALIEN POSSESS c140 §131H",0,1,"FIREARM, ALIEN POSSESS","140","131H","No",0,0,NA
"553","ELECTRIC STUN GUN, SELL/POSSESS c. 140 s. 131J",0,1,"ELECTRIC STUN GUN, SELL/POSSESS","140","131J","No",0,0,NA
"554","FIREARM, STORE IMPROPER c. 140 s. 131L(a)",0,1,"FIREARM, STORE IMPROPER","140","131L(a)","No",0,0,NA
"555","FIREARM, STORE IMPROP c140 §131L(a)&(b)",187,195,"FIREARM, STORE IMPROP","140","131L(a)&(b)","No",0,0,NA
"556","FIREARM, STORE IMPROP LARGE CAPACITY c140 §131L(a)&(b)",22,35,"FIREARM, STORE IMPROP LARGE CAPACITY","140","131L(a)&(b)","No",0,0,NA
"557","RIFLE/SHOTGUN, STORE IMPROP NEAR MINOR c140 §131L(a)&(c)",5,5,"RIFLE/SHOTGUN, STORE IMPROP NEAR MINOR","140","131L(a)&(c)","No",0,0,NA
"558","FIREARM, STORE IMPROP LARGE-CAPACITY NEAR MINOR c140 §131L(a)&(d)",11,8,"FIREARM, STORE IMPROP LARGE-CAPACITY NEAR MINOR","140","131L(a)&(d)","No",0,0,NA
"559","ASSAULT WEAPON, SELL/POSSESS c140 §131M",8,33,"ASSAULT WEAPON, SELL/POSSESS","140","131M","No",0,0,NA
"560","ASSAULT WEAPON, SELL/POSSESS, SUBSQ. c. 140 s. 131M",0,1,"ASSAULT WEAPON, SELL/POSSESS, SUBSQ.","140","131M","No",0,0,NA
"561","DOG, FAIL LICENSE c140 §137",67,1,"DOG, FAIL LICENSE","140","137","Yes",0,0,NA
"562","DOG KENNEL, UNLICENSED c140 §137A",0,1,"DOG KENNEL, UNLICENSED","140","137A","Yes",0,0,NA
"563","DOG/CAT RABIES VACCINATION VIOLATION c140 §145B",14,1,"DOG/CAT RABIES VACCINATION VIOLATION","140","145B","Yes",0,0,NA
"564","DOG ORDER, DISOBEY c140 §157",3,1,"DOG ORDER, DISOBEY","140","157","Yes",0,0,NA
"565","DOG ORDINANCE/BY-LAW VIOLATION c140 §173",4,0,"DOG ORDINANCE/BY-LAW VIOLATION","140","173","Yes",0,0,NA
"566","DOG, TETHERING OR CONFINING VIOLATION c140 §174E(f)",0,1,"DOG, TETHERING OR CONFINING VIOLATION","140","174E(f)","Yes",0,0,NA
"567","TICKET RESALE, UNLICENSED c140 §185A",0,2,"TICKET RESALE, UNLICENSED","140","185A","Yes",0,0,NA
"568","TICKET SCALPING c140 §185D",0,1,"TICKET SCALPING","140","185D","Yes",0,0,NA
"569","ELECTRIC STUN GUN, SELL/POSSESS c141 §31J",0,111,"ELECTRIC STUN GUN, SELL/POSSESS","141","31J","Yes",0,0,NA
"570","ELECTRIC STUN GUN, SELL/POSSESS c141 §131J",25,0,"ELECTRIC STUN GUN, SELL/POSSESS","141","131J","Yes",0,0,NA
"571","HOME IMPROVEMENT CONTRACTOR, UNLICENSED c142A §19",1,2,"HOME IMPROVEMENT CONTRACTOR, UNLICENSED","142A","19","Yes",0,0,NA
"572","HOME IMPROVEMENT CONTRACTOR VIOLATION c142A §19",0,7,"HOME IMPROVEMENT CONTRACTOR VIOLATION","142A","19","Yes",0,0,NA
"573","FIRE PREVENTION REGULATIONS VIOLATION c148 §10B",2,0,"FIRE PREVENTION REGULATIONS VIOLATION","148","10B","Yes",0,0,NA
