"","X","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder"
"381",1524,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 100 GRAMS OR MORE c94C §32E(c)",0,7,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 100 GRAMS OR MORE","94C","32E(c)","Yes",0,0
"382",1525,"HYDROMORPHONE, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(c)",0,5,"HYDROMORPHONE, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(c)","Yes",0,0
"383",1526,"HYDROMORPHONE, TRAFFICKING IN, OVER 18 GRAMS c94C §32E(c)",0,2,"HYDROMORPHONE, TRAFFICKING IN, OVER 18 GRAMS","94C","32E(c)","Yes",0,0
"384",1527,"HYDROMORPHONE, TRAFFICKING IN, OVER 36 GRAMS c94C §32E(c)",0,1,"HYDROMORPHONE, TRAFFICKING IN, OVER 36 GRAMS","94C","32E(c)","Yes",0,0
"385",1539,"COUNTERFEIT DRUG, DISTRIBUTE c94C §32G",2,27,"COUNTERFEIT DRUG, DISTRIBUTE","94C","32G","Yes",0,0
"386",1540,"COUNTERFEIT DRUG, POSSESS TO DISTRIBUTE c94C §32G",1,13,"COUNTERFEIT DRUG, POSSESS TO DISTRIBUTE","94C","32G","Yes",0,0
"387",1541,"DRUG PARAPHERNALIA, POSSESS TO DISTRIB c94C §32I(a)",3,8,"DRUG PARAPHERNALIA, POSSESS TO DISTRIB","94C","32I(a)","Yes",0,0
"388",1542,"DRUG PARAPHERNALIA, DISTRIBUTE c94C §32I(a)",0,13,"DRUG PARAPHERNALIA, DISTRIBUTE","94C","32I(a)","Yes",0,0
"389",1543,"DRUG VIOLATION NEAR SCHOOL/PARK c94C §32J",23,2820,"DRUG VIOLATION NEAR SCHOOL/PARK","94C","32J","Yes",0,0
"390",1544,"DRUG VIOLATION NEAR SCHOOL c94C §32J",1,0,"DRUG VIOLATION NEAR SCHOOL","94C","32J","Yes",0,0
"391",1545,"DRUG VIOLATION NEAR SCHOOL/PARK c. 94C s. 32J",0,4,"DRUG VIOLATION NEAR SCHOOL/PARK","94C","32J","Yes",0,0
"392",1546,"DRUG VIOLATION NEAR SCHOOL c. 94C s. 32J",0,1,"DRUG VIOLATION NEAR SCHOOL","94C","32J","Yes",0,0
"393",1547,"DRUG, INDUCE MINOR TO DISTRIBUTE c94C §32K",3,4,"DRUG, INDUCE MINOR TO DISTRIBUTE","94C","32K","Yes",0,0
"394",1548,"DRUG FUNDS, INDUCE MINOR TO POSSESS c94C §32K",0,1,"DRUG FUNDS, INDUCE MINOR TO POSSESS","94C","32K","Yes",0,0
"395",1549,"POSSESSION OF MARIJUANA 1 OUNCE OR LESS W/MARIJUANA CONCENTRATE c94C s32L",2,0,"POSSESSION OF MARIJUANA 1 OUNCE OR LESS W/MARIJUANA CONCENTRATE","94C","32L","Yes",0,0
"396",1594,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE C94c §32E(c)",0,22,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE C94C §32E(C)","94c","32E(c)","Yes",0,0
"397",1595,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 200 GRAMS OR MORE C94c §32E(c)",0,6,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 200 GRAMS OR MORE C94C §32E(C)","94c","32E(c)","Yes",0,0
"398",1550,"DRUG, FALSE REGIS NUMBER FOR c94C §33(a)",54,1,"DRUG, FALSE REGIS NUMBER FOR","94C","33(a)","Yes",0,0
"399",1551,"DRUG, OBTAIN BY FRAUD c94C §33(b)",222,68,"DRUG, OBTAIN BY FRAUD","94C","33(b)","Yes",0,0
"400",1552,"PRESCRIPTION, UTTER FALSE c94C §33(b)",27,216,"PRESCRIPTION, UTTER FALSE","94C","33(b)","Yes",0,0
"401",1553,"DRUG, FALSE REGIS NUMBER FOR, SUBSQ.OFF. c94C §33(c)",0,16,"DRUG, FALSE REGIS NUMBER FOR, SUBSQ.OFF.","94C","33(c)","Yes",0,0
"402",1554,"PRESCRIPTION, UTTER FALSE, SUBSQ.OFF. c94C §33(c)",0,13,"PRESCRIPTION, UTTER FALSE, SUBSQ.OFF.","94C","33(c)","Yes",0,0
"403",1555,"DRUG, OBTAIN BY FRAUD, SUBSQ.OFF. c94C §33(c)",0,8,"DRUG, OBTAIN BY FRAUD, SUBSQ.OFF.","94C","33(c)","Yes",0,0
"404",1556,"DRUG, POSSESS CLASS B c94C §34",1081,5770,"DRUG, POSSESS CLASS B","94C","34","Yes",0,0
"405",1557,"DRUG, POSSESS CLASS A c94C §34",935,2987,"DRUG, POSSESS CLASS A","94C","34","Yes",0,0
"406",1558,"DRUG, POSSESS CLASS E c94C §34",458,1894,"DRUG, POSSESS CLASS E","94C","34","Yes",0,0
"407",1559,"DRUG, POSSESS CLASS C c94C §34",220,1148,"DRUG, POSSESS CLASS C","94C","34","Yes",0,0
"408",1560,"DRUG, POSSESS CLASS B, SUBSQ.OFF. c94C §34",185,834,"DRUG, POSSESS CLASS B, SUBSQ.OFF.","94C","34","Yes",0,0
"409",1561,"DRUG, POSSESS CLASS A, SUBSQ.OFF. c94C §34",151,285,"DRUG, POSSESS CLASS A, SUBSQ.OFF.","94C","34","Yes",0,0
"410",1562,"DRUG, POSSESS CLASS D c94C §34",63,299,"DRUG, POSSESS CLASS D","94C","34","Yes",0,0
"411",1563,"HEROIN, POSSESS c94C §34",61,84,"HEROIN, POSSESS","94C","34","Yes",0,0
"412",1564,"HEROIN, POSSESS, SUBSQ.OFF. c94C §34",9,10,"HEROIN, POSSESS, SUBSQ.OFF.","94C","34","Yes",0,0
"413",1565,"DRUG, POSSESS CLASS C, SUBSQ.OFF. c94C §34",9,26,"DRUG, POSSESS CLASS C, SUBSQ.OFF.","94C","34","Yes",0,0
"414",1566,"MARIHUANA, POSSESS c94C §34",8,28,"MARIHUANA, POSSESS","94C","34","Yes",0,0
"415",1567,"DRUG, POSSESS CLASS D, SUBSQ.OFF. c94C §34",5,16,"DRUG, POSSESS CLASS D, SUBSQ.OFF.","94C","34","Yes",0,0
"416",1568,"MARIJUANA +12 MARIJUANA PLANTS, POSSESS c94C §34",2,0,"MARIJUANA +12 MARIJUANA PLANTS, POSSESS","94C","34","Yes",0,0
"417",1569,"POSSESS CLASS B SUBSTANCE, HABITUAL c94C §34",1,0,"POSSESS CLASS B SUBSTANCE, HABITUAL","94C","34","Yes",0,0
"418",1570,"POSSESS CLASS A SUBSTANCE, HABITUAL c94C §34",1,0,"POSSESS CLASS A SUBSTANCE, HABITUAL","94C","34","Yes",0,0
"419",1571,"DRUG, POSSESS CLASS B c. 94C s. 34",0,5,"DRUG, POSSESS CLASS B","94C","34","Yes",0,0
"420",1572,"DRUG, POSSESS CLASS A c. 94C s. 34",0,3,"DRUG, POSSESS CLASS A","94C","34","Yes",0,0
"421",1573,"MARIJUANA, POSSESS c. 94C s. 34",0,2,"MARIJUANA, POSSESS","94C","34","Yes",0,0
"422",1574,"DRUG, POSSESS CLASS E c. 94C s. 34",0,2,"DRUG, POSSESS CLASS E","94C","34","Yes",0,0
"423",1575,"DRUG, POSSESS CLASS C c. 94C s. 34",0,2,"DRUG, POSSESS CLASS C","94C","34","Yes",0,0
"424",1576,"DRUG, POSSESS CLASS E, SUBSQ.OFF. c94C §34",0,1,"DRUG, POSSESS CLASS E, SUBSQ.OFF.","94C","34","Yes",0,0
"425",1577,"DRUG, POSSESS CLASS D c. 94C s. 34",0,1,"DRUG, POSSESS CLASS D","94C","34","Yes",0,0
"426",1578,"HEROIN, BEING PRESENT WHERE KEPT c94C §35",137,394,"HEROIN, BEING PRESENT WHERE KEPT","94C","35","Yes",0,0
"427",1579,"HEROIN, BEING PRESENT WHERE KEPT c. 94C s. 35",0,1,"HEROIN, BEING PRESENT WHERE KEPT","94C","35","Yes",0,0
"428",1582,"DRUG, LARCENY OF c94C §37",38,45,"DRUG, LARCENY OF","94C","37","Yes",0,0
"429",1583,"CONSPIRACY TO VIOLATE DRUG LAW c94C §40",581,1988,"CONSPIRACY TO VIOLATE DRUG LAW","94C","40","Yes",0,0
"430",1584,"CONSPIRACY TO VIOLATE DRUG LAW, HABITUAL c94C §40",3,0,"CONSPIRACY TO VIOLATE DRUG LAW, HABITUAL","94C","40","Yes",0,0
"431",1585,"CONSPIRACY TO VIOLATE DRUG LAW c. 94C s. 40",0,14,"CONSPIRACY TO VIOLATE DRUG LAW","94C","40","Yes",0,0
"432",1464,"DRUG, DISPENSE W/O PRESCRIPTION c94C §25(1)",3,0,"DRUG, DISPENSE W/O PRESCRIPTION","94C","25(1)","Yes",0,0
"433",1465,"DRUG LABEL, REMOVE/ALTER c94C §25(4)",1,5,"DRUG LABEL, REMOVE/ALTER","94C","25(4)","Yes",0,0
"434",1461,"CIGARETTES, SELL SINGLE UNPACKAGED c94 §307A",0,1,"CIGARETTES, SELL SINGLE UNPACKAGED","94","307A","Yes",0,0
"435",1517,"COCAINE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(b)(1)",0,41,"COCAINE, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(b)(1)","Yes",0,0
"436",1528,"HEROIN/MORPHINE/OPIUM 18-36 GRAMS, TRAFFICKING IN c94C §32E(c)(1)",8,0,"HEROIN/MORPHINE/OPIUM 18-36 GRAMS, TRAFFICKING IN","94C","32E(c)(1)","Yes",0,0
"437",1529,"HEROIN, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,41,"HEROIN, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(c)(1)","Yes",0,0
"438",1530,"OXYCODONE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,10,"OXYCODONE, TRAFFICKING IN, OVER 14 GRAMS","94C","32E(c)(1)","Yes",0,0
"439",1587,"Trafficking Heroin (18-36g), c94C,s32E(c)(1)",32,0,"TRAFFICKING HEROIN (18-36G),","94C,","32E(c)(1)","Yes",0,0
"440",1518,"COCAINE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(b)(2)",0,201,"COCAINE, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(b)(2)","Yes",0,0
"441",1531,"HEROIN/MORPHINE/OPIUM 36 GRAMS-100 GRAMS, TRAFFICKING IN c94C §32E(c)(2)",29,0,"HEROIN/MORPHINE/OPIUM 36 GRAMS-100 GRAMS, TRAFFICKING IN","94C","32E(c)(2)","Yes",0,0
"442",1532,"HEROIN, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,157,"HEROIN, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(c)(2)","Yes",0,0
"443",1533,"OXYCODONE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,44,"OXYCODONE, TRAFFICKING IN, OVER 28 GRAMS","94C","32E(c)(2)","Yes",0,0
"444",1586,"Trafficking Cocaine (36-100g), c94C,s32E(b)(2)",2,0,"TRAFFICKING COCAINE (36-100G),","94C,","32E(b)(2)","Yes",0,0
"445",1588,"Trafficking Heroin (36-100g), c94C,s32E(c)(2)",16,0,"TRAFFICKING HEROIN (36-100G),","94C,","32E(c)(2)","Yes",0,0
"446",1589,"Trafficking Heroin (36-100g), c94C,s32E(c)(2)-HABITUAL",1,0,"TRAFFICKING HEROIN (36-100G),","94C,","32E(c)(2)-HABITUAL","Yes",0,0
"447",1519,"COCAINE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(b)(3)",0,83,"COCAINE, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(b)(3)","Yes",0,0
"448",1534,"OXYCODONE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,148,"OXYCODONE, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(c)(3)","Yes",0,0
"449",1535,"HEROIN, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(c)(3)",0,91,"HEROIN, TRAFFICKING IN, OVER 100 GRAMS","94C","32E(c)(3)","Yes",0,0
"450",1520,"COCAINE, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(b)(4)",0,133,"COCAINE, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(b)(4)","Yes",0,0
"451",1536,"HEROIN, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(c)(4)",0,124,"HEROIN, TRAFFICKING IN, OVER 200 GRAMS","94C","32E(c)(4)","Yes",0,0
"452",1538,"FENTANYL, TRAFFICKING IN MORE THAN 10 GRAMS c94C §32E(c1/2)",11,0,"FENTANYL, TRAFFICKING IN MORE THAN 10 GRAMS","94C","32E(c1/2)","Yes",0,0
"453",1537,"HEROIN/MORPHINE/OPIUM, TRAFFICK IN c. 94C s. 32E(c)(4) - 200 or more g",0,1,"HEROIN/MORPHINE/OPIUM, TRAFFICK IN","94C","32E(c)(4) - 200 or more g","Yes",0,0
"454",1580,"COCAINE, TRAFFICKING IN, OVER 18 GRAMS, LESS 36 c94C §32E(b)",0,22,"COCAINE, TRAFFICKING IN, OVER 18 GRAMS, LESS 36","94C","36 c94C §32E(b)","Yes",0,0
"455",1581,"METHAMPHETAMINE, TRAFFICKING IN, 18 GRAMS OR MORE, LESS 36 c94C §32E(c)",0,2,"METHAMPHETAMINE, TRAFFICKING IN, 18 GRAMS OR MORE, LESS 36","94C","36 c94C §32E(c)","Yes",0,0
"456",1596,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE LESS 36 C94c §32E(c)",0,2,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 18 GRAMS OR MORE LESS 36 C94C §32E(C)","94c","36 C94c §32E(c)","Yes",0,0
"457",1593,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 36 GRAMS OR MORE LESS 100 C94c §32E(c)",0,18,"HEROIN/MORPHINE/OPIUM, TRAFFICKING IN, 36 GRAMS OR MORE LESS 100 C94C §32E(C)","94c","100 C94c §32E(c)","Yes",0,0
"458",1467,"COCAINE (c.94C s. 31 Class B(a)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF. c. 94C s. 32A(d)",0,1,"COCAINE (C.94C S. 31 CLASS B(A)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF.","94C","31 Class B(a)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF. c. 94C s. 32A(d)","Yes",0,0
"459",1592,"CONSUME MARIJUANA IN PUBLIC PLACE c94G",1,0,"CONSUME MARIJUANA IN PUBLIC PLACE","94G","","Yes",0,0
"460",2,"PEDDLING WITHOUT A LICENSE c101 §14",0,7,"PEDDLING WITHOUT A LICENSE","101","14","Yes",0,0
"461",3,"PEDDLING VIOLATION c101 §14",0,3,"PEDDLING VIOLATION","101","14","Yes",0,0
"462",4,"BOAT, TRESPASS ON c102 §1A",0,2,"BOAT, TRESPASS ON","102","1A","Yes",0,0
"463",8,"ALCOHOL DETOX PROG, UNLICENSED/DENY INSPECTION, SUBSQ c. 111B s. 6",0,1,"ALCOHOL DETOX PROG, UNLICENSED/DENY INSPECTION, SUBSQ","111B","6","Yes",0,0
"464",5,"AIR POLLUTION ORDER VIOL c111 §142A",1,0,"AIR POLLUTION ORDER VIOL","111","142A","Yes",0,0
"465",6,"INSPECTION CERTIFICATE, IMPROPER MV c111 §142M",0,2,"INSPECTION CERTIFICATE, IMPROPER MV","111","142M","Yes",0,0
"466",7,"TRASH TREATMENT FACILITY REGULATION VIOL c111 §150A",4,0,"TRASH TREATMENT FACILITY REGULATION VIOL","111","150A","Yes",0,0
"467",9,"PROFESSIONAL LIC SUSPENDED,PRACTICE WITH c112 §65",0,2,"PROFESSIONAL LIC SUSPENDED,PRACTICE WITH","112","65","Yes",0,0
"468",10,"NURSING, UNAUTH PRACTICE OF PRACTICAL c112 §80A",6,0,"NURSING, UNAUTH PRACTICE OF PRACTICAL","112","80A","Yes",0,0
"469",11,"FUNERAL DIRECTOR, UNLICENSED c112 §87",0,200,"FUNERAL DIRECTOR, UNLICENSED","112","87","Yes",0,0
"470",12,"BODY, IMPROPER DISPOSITION OF HUMAN c114  §43M",12,0,"BODY, IMPROPER DISPOSITION OF HUMAN","114","43M","",0,0
"471",13,"BODY, IMPROPER DISPOSITION OF HUMAN c114 §43M",0,15,"BODY, IMPROPER DISPOSITION OF HUMAN","114","43M","Yes",0,0
"472",14,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR c118E §39",0,16,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR","118E","39","Yes",0,0
"473",15,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR c. 118E s. 39",0,5,"MEDICAL ASSISTANCE, FALSE STATEMENT FOR","118E","39","Yes",0,0
"474",16,"MEDICAL ASSISTANCE FRAUD BY PROVIDER c118E §40",0,2,"MEDICAL ASSISTANCE FRAUD BY PROVIDER","118E","40","Yes",0,0
"475",17,"CHILD UNDER 10, ABANDON c119 §39",2,4,"CHILD UNDER 10, ABANDON","119","39","Yes",0,0
"476",18,"CHILD ABUSE, FRIVOLOUS REPORT OF c119 §51A",1,0,"CHILD ABUSE, FRIVOLOUS REPORT OF","119","51A","Yes",0,0
"477",19,"CHILD ABUSE, MANDATED REPORTER FL REPORT c119 §51A",1,0,"CHILD ABUSE, MANDATED REPORTER FL REPORT","119","51A","Yes",0,0
"478",20,"CONTRIBUTE TO DELINQUENCY OF CHILD c119 §63",14,10,"CONTRIBUTE TO DELINQUENCY OF CHILD","119","63","Yes",0,0
"479",22,"Sexually Dangerous Person, c123A",2,0,"SEXUALLY DANGEROUS PERSON,","123A","","No",1,0
"480",23,"SEXUALLY DANGEROUS PERSON c123A",0,3,"SEXUALLY DANGEROUS PERSON","123A","","No",1,0
"481",24,"ESCAPE FROM COUNTY PRISON FARM, ATTEMPT c126 §37",0,1,"ESCAPE FROM COUNTY PRISON FARM, ATTEMPT","126","37","Yes",0,0
"482",25,"A&B ON CORRECTIONAL OFFICER c127 §38B",25,117,"A&B ON CORRECTIONAL OFFICER","127","38B","Yes",0,0
"483",26,"A&B WITH BODILY SUBSTANCE ON CORRECTIONAL OFFICER c127 §38B(c)",4,0,"A&B WITH BODILY SUBSTANCE ON CORRECTIONAL OFFICER","127","38B(c)","Yes",0,0
"484",27,"RACING PARIMUTUEL TICKET, FALSE c128A §10B",0,1,"RACING PARIMUTUEL TICKET, FALSE","128A","10B","Yes",0,0
"485",29,"FISH, THROW OVERBOARD UPON INSPECTION c130 §13",0,4,"FISH, THROW OVERBOARD UPON INSPECTION","130","13","Yes",0,0
"486",30,"LOBSTER/CRAB/FISH POT/CATCH, TAKE/INJURE c130 §31",0,1,"LOBSTER/CRAB/FISH POT/CATCH, TAKE/INJURE","130","31","Yes",0,0
"487",32,"LOBSTER/CRAB VIOLATION c130 §38A",0,2,"LOBSTER/CRAB VIOLATION","130","38A","Yes",0,0
"488",33,"LOBSTER, TAKE EGG-BEARING c130 §41",0,1,"LOBSTER, TAKE EGG-BEARING","130","41","Yes",0,0
"489",34,"LOBSTER, SHORT c130 §44",0,2,"LOBSTER, SHORT","130","44","Yes",0,0
"490",35,"LOBSTER CONTAINER IMPROP MARKED c130 §47",0,1,"LOBSTER CONTAINER IMPROP MARKED","130","47","Yes",0,0
"491",36,"SHELLFISH IN CONTAMINATED AREA AT NIGHT c130 §75",0,1,"SHELLFISH IN CONTAMINATED AREA AT NIGHT","130","75","Yes",0,0
"492",37,"FISHING, COMMERCIAL LICENSE VIOL c130 §80",0,3,"FISHING, COMMERCIAL LICENSE VIOL","130","80","Yes",0,0
"493",38,"SCALLOPS SALES VIOLATION c130 §92",0,1,"SCALLOPS SALES VIOLATION","130","92","Yes",0,0
"494",28,"STRIPED BASS TAKEN NOT BY ANGLING c130 §100B",0,2,"STRIPED BASS TAKEN NOT BY ANGLING","130","100B","Yes",0,0
"495",31,"LOBSTER/CRAB WITHOUT LICENSE c130 §37 & §38",0,1,"LOBSTER/CRAB WITHOUT LICENSE","130","37 & §38","Yes",0,0
"496",44,"HUNT/FISH IN CLOSED SEASON c131 §5",6,0,"HUNT/FISH IN CLOSED SEASON","131","5","Yes",0,0
"497",39,"HUNT/FISH WITHOUT LICENSE c131 §11",7,1,"HUNT/FISH WITHOUT LICENSE","131","11","Yes",0,0
"498",40,"FISH/WILD ANIMAL, DEAL WITHOUT LIC c131 §23",0,1,"FISH/WILD ANIMAL, DEAL WITHOUT LIC","131","23","Yes",0,0
"499",41,"ANIMAL QUARANTINE VIOLATION c131 §25C",0,1,"ANIMAL QUARANTINE VIOLATION","131","25C","Yes",0,0
"500",42,"LICENSE UNDER c.131, ALTER/FORGE c131 §33",0,2,"LICENSE UNDER","131","33","Yes",0,0
"501",43,"WETLANDS VIOLATION, COASTAL/TIDAL c131 §40",10,0,"WETLANDS VIOLATION, COASTAL/TIDAL","131","40","Yes",0,0
"502",45,"FIREARM WITHIN 500 FT OF DWELLING c131 §58",7,42,"FIREARM WITHIN 500 FT OF DWELLING","131","58","Yes",0,0
"503",46,"FIREARM, DISCHARGE NEAR HWAY c131 §58",3,1,"FIREARM, DISCHARGE NEAR HWAY","131","58","Yes",0,0
"504",47,"HUNTING INJURY, FAIL REPORT c131 §60",1,0,"HUNTING INJURY, FAIL REPORT","131","60","Yes",0,0
"505",48,"HUNTING WEAPON, PERSONAL INJURY WITH c131 §60",1,0,"HUNTING WEAPON, PERSONAL INJURY WITH","131","60","Yes",0,0
"506",49,"SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED c131 §63",2,1,"SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED","131","63","Yes",0,0
"507",50,"SHOTGUN SHELLS IN CLOSED SEASON c131 §66",1,0,"SHOTGUN SHELLS IN CLOSED SEASON","131","66","Yes",0,0
"508",51,"HUNT BY ARTIFICIAL LIGHT c131 §68",3,0,"HUNT BY ARTIFICIAL LIGHT","131","68","Yes",0,0
"509",52,"DEER TAGGING VIOLATION c131 §72",1,1,"DEER TAGGING VIOLATION","131","72","Yes",0,0
"510",53,"TURKEY, HUNT/POSSESS WILD c131 §75",1,0,"TURKEY, HUNT/POSSESS WILD","131","75","Yes",0,0
"511",54,"TRAP, UNLAWFUL c131 §80A",1,0,"TRAP, UNLAWFUL","131","80A","Yes",0,0
"512",55,"ANIMAL, IMPORT/EXPORT IMPROP c131 §85",2,0,"ANIMAL, IMPORT/EXPORT IMPROP","131","85","Yes",0,0
"513",56,"TRANSPORTATION OF UNLAWFULLY TAKEN FISH/ANIMALS INTO OR OUT OF THE COMMONWEALTH c. 131 s. 85",0,2,"TRANSPORTATION OF UNLAWFULLY TAKEN FISH/ANIMALS INTO OR OUT OF THE COMMONWEALTH","131","85","Yes",0,0
"514",57,"FOREST CUTTING, UNLICENSED COMMERCIAL c132 §46",1,0,"FOREST CUTTING, UNLICENSED COMMERCIAL","132","46","Yes",0,0
"515",58,"DRINKING IN PUBLIC c. 138 s. 1",0,227,"DRINKING IN PUBLIC","138","1","Yes",0,0
"516",59,"LIQUOR, SELL/MAKE/STORE/TRANSPORT UNLAW c138 §2",0,11,"LIQUOR, SELL/MAKE/STORE/TRANSPORT UNLAW","138","2","Yes",0,0
"517",60,"LIQUOR, TRANSPORT UNLAWFULLY c138 §22",4,1,"LIQUOR, TRANSPORT UNLAWFULLY","138","22","Yes",0,0
"518",61,"LIQUOR, TRANSPORT UNLAWFULLY c. 138 s. 22",0,1,"LIQUOR, TRANSPORT UNLAWFULLY","138","22","Yes",0,0
"519",62,"LIQUOR TO PERSON UNDER 21, SELL/DELIVER c138 §34",48,40,"LIQUOR TO PERSON UNDER 21, SELL/DELIVER","138","34","Yes",0,0
"520",63,"LIQUOR, PERSON UNDER 21 PROCURE c138 §34A",15,36,"LIQUOR, PERSON UNDER 21 PROCURE","138","34A","Yes",0,0
"521",64,"LIQUOR, ASSIST PERSON UNDER 21 PURCHASE c138 §34A",9,7,"LIQUOR, ASSIST PERSON UNDER 21 PURCHASE","138","34A","Yes",0,0
"522",65,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE c138 §34B",29,30,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE","138","34B","Yes",0,0
"523",66,"LIQUOR LICENSING AUTH, REFUSE ID SELF TO c138 §34B",0,6,"LIQUOR LICENSING AUTH, REFUSE ID SELF TO","138","34B","Yes",0,0
"524",67,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE c. 138 s. 34B",0,1,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE","138","34B","Yes",0,0
"525",68,"LIQUOR, PERSON UNDER 21 POSSESS c138 §34C",666,290,"LIQUOR, PERSON UNDER 21 POSSESS","138","34C","Yes",0,0
"526",69,"LIQUOR CLUB, UNLICENSED c138 §61",0,2,"LIQUOR CLUB, UNLICENSED","138","61","Yes",0,0
"527",70,"LIQUOR VIOLATION c138 §62",0,28,"LIQUOR VIOLATION","138","62","Yes",0,0
"528",71,"LIQUOR INSPECTOR, OBSTRUCT c138 §63A",0,1,"LIQUOR INSPECTOR, OBSTRUCT","138","63A","Yes",0,0
"529",73,"NUISANCE, AID/PERMIT c139 §20",0,3,"NUISANCE, AID/PERMIT","139","20","Yes",0,0
"530",74,"PROSTITUTION NUISANCE, MAINTAIN c139 §4-§5",0,1,"PROSTITUTION NUISANCE, MAINTAIN","139","4-§5","Yes",0,0
"531",72,"GAMBLING NUISANCE, MAINTAIN c139 §14-§15",0,3,"GAMBLING NUISANCE, MAINTAIN","139","14-§15","Yes",0,0
"532",76,"INNKEEPER, DEFRAUD, OVER $100 c140 §12",7,29,"INNKEEPER, DEFRAUD, OVER $100","140","12","Yes",0,0
"533",77,"INNKEEPER, DEFRAUD, UNDER $100 c140 §12",3,30,"INNKEEPER, DEFRAUD, UNDER $100","140","12","Yes",0,0
"534",78,"RESTAURANT, DEFRAUD c140 §12",2,29,"RESTAURANT, DEFRAUD","140","12","Yes",0,0
"535",79,"INNKEEPER, DEFRAUD, UNDER $100 c. 140 s. 12",0,1,"INNKEEPER, DEFRAUD, UNDER $100","140","12","Yes",0,0
"536",108,"LODGING HOUSE, UNLICENSED c140 §24",0,1,"LODGING HOUSE, UNLICENSED","140","24","Yes",0,0
"537",109,"HOTEL REGISTER, FAIL KEEP c140 §27",0,4,"HOTEL REGISTER, FAIL KEEP","140","27","Yes",0,0
"538",110,"UNAUTHORIZED USE OF CREDIT CARDS c. 140D s. 27",0,48,"UNAUTHORIZED USE OF CREDIT CARDS","140D","27","Yes",0,0
"539",111,"CONSUMER CREDIT COST DISCLOSURE VIOL c140D §31",0,7,"CONSUMER CREDIT COST DISCLOSURE VIOL","140D","31","Yes",0,0
"540",75,"SMALL LOANS, UNLICENSED c140 §110",0,1,"SMALL LOANS, UNLICENSED","140","110","Yes",0,0
"541",80,"AMMUNITION, UNLICENSED SALE OF c140 §122B",0,19,"AMMUNITION, UNLICENSED SALE OF","140","122B","No",0,0
"542",81,"SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER c140 §122D",1,0,"SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER","140","122D","No",0,0
"543",82,"SELF DEFENSE SPRAY, POSS BY FELON/YO c. 140 §122D/A",0,2,"SELF DEFENSE SPRAY, POSS BY FELON/YO","140","122D/A","No",0,0
"544",83,"FIREARM SALE, IMPROPER c140 §128",1,2,"FIREARM SALE, IMPROPER","140","128","No",0,0
"545",84,"FIREARM SALE, UNLICENSED c140 §128",0,9,"FIREARM SALE, UNLICENSED","140","128","No",0,0
"546",85,"FIREARM, FAIL REPORT UNAUTHORIZED c140 §128B",3,0,"FIREARM, FAIL REPORT UNAUTHORIZED","140","128B","No",0,0
